Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,OCPk6 C,OCPk7 C,OCPk8 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,PM2.5,Na,Mg,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF,ICP-MS,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS y TXRF,ICP-MS+ICPcr,ICP-MS+ICPcr,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR
21,0.3036003495,1.986785758,0.9187285079,0.2601163291,1.009958891,,6.6436364,0.5970423731,7.240678774,0.8959295709,0.7745242408,,,0.1512750641,0.003604919444,0.00199171763,0.0005690621801,0.002039998449,,0.01931961,0.05515961,0.00578976,0.00123068,0.00124768,0.00236622,0.00483449,1.847245223,1.110016924,0.5442122658,0.8208584921,0.01703621151,0,0,0,2.304266629,0.305959542,0.6851128085,1.610777033,0.2556525847,0.01204086484,0.00841785175,29.14726788,,,,,,,,,
24,0.1566034225,0.8671668609,1.042777993,0.3129532082,0.8104137496,,5.319332971,1.126928459,6.44626143,0.6246890115,1.025712904,,0.002873193001,0.1314540359,0.002133159536,0.001361883739,0.0004539612464,0.002738441197,,0.0060159,0.07021757,0.00893176,0.00050971,0.00256721,0.0109929,0.0015256,1.707233386,0.791506606,0.5367116088,1.233488946,0.02777616853,0,0,0,1.022615222,0.07966841083,0.298818585,1.326292258,0.3998403364,0.01233835367,0.007751721606,19.07702429,,,,,,,,,
25,0.1580975944,0.5432959577,0.6906350971,0.2894770332,0.263388266,,2.385025836,0.9599137737,3.34493961,0.653578057,0.7206308284,,0.002899997498,0.03710773665,0.008126791761,0.001985592606,0.0009927963028,0.002028185901,,0.01953549,0.04442746,0.00210068,0.0001349,,0.00033527,0.00268942,0.9453536366,0.2834363161,0.3667939816,1.010851858,0.009738862283,0,0,0,-0.2311501531,0.01143514655,0.04812254925,0.3820704911,0.2557565145,0.006756900452,0.001345797801,11.95650931,,,,,,,,,
26,0.1275108133,0.2902276548,0.2995663939,0.2612176238,0.06204589713,,3.247148036,0.4954479392,3.742595975,0.1517950572,,,,0.01780233549,,0.0005364651661,0.0001341162915,,,0.005947,0.02748245,0.00221517,0.00015064,0.00146161,0.00115181,0.00193664,0.8743809853,0.592609765,0.394328579,0.6157872731,0.009857816031,0,0,0,0.7601828497,0.06837894238,0.1777978962,0.6764325719,0.2842950482,0.01680126836,0.009914525269,6.018173802,,,,,,,,,
27,0.1132581778,0.5050618334,0.5014005486,0.2700092356,0.2592920877,,4.051121233,1.151989496,5.20311073,0.4205987861,0.8500045584,,,0.08003158643,0.009609262545,0.0007506864349,0.004954530471,0.002552810056,,0.00249869,0.00514677,0.00268282,0.00044401,0.001216,0.01215696,0.00099927,1.359931299,0.6416976668,0.4196278397,0.7871525031,0.01746888516,0,0,0,0.8252424573,0.05741989452,0.2152270044,1.101194278,0.5500699034,0.01764571645,0.01103488621,12.5186744,,,,,,,,,
28,0.4464358923,3.121579527,1.304960119,0.2979953948,1.46073898,,8.606024953,1.276468113,9.882493066,1.155908021,0.9786831643,0.002438180224,,0.07436359028,0.02043067708,0.002176544593,0.0006218698838,0.003173787804,,0.0199606,0.06162465,0.00345088,0.00050869,0.00339804,0.00825938,0.00596358,2.410216086,1.372230188,0.6907587164,1.027131966,0.02306618664,0,0,0,3.082620558,0.2960061286,0.726864543,2.607747859,0.6689533892,0.02175050509,0.01225172823,31.85472204,,,,,,,,,
29,0.13955315,0.2619684932,0.3072742314,0.2467858627,0.03109828514,,3.550340638,0.5120945023,4.062435141,0.1681324859,0.8744820373,,0.003210723171,0.117358565,0.003999418003,0.0005949322328,0.0001487330582,0.001917155189,,0.00350801,0.05671159,0.00802296,0.00032431,0.00039877,0.01447225,0.00214372,1.049014551,0.6955986888,0.3444871612,0.5557759851,0.01196888996,0,0,0,0.8934940095,0.08630576947,0.2056368267,0.8029662739,0.2627849219,0.01533801992,0.008147247731,9.145758543,,,,,,,,,
30,0.1444089898,0.2701438808,0.2682739327,0.2635101347,0.06717485725,,2.361260752,0.659092295,3.020353047,0.1510032663,0.3985351568,,0.002687111376,0.03590222861,0.001563942819,,0.0004206392607,,,0.00201928,0.00379142,0.00094122,0.00032879,0.00148488,0.00750729,0.00157263,0.7935925232,0.4309456017,0.3181690044,0.7061147045,0.006115791488,0,0,0,0.1063215071,0.01311047188,0.05405787177,0.4094788587,0.258450524,0.006175992878,0.001128925212,7.243890267,,,,,,,,,
33,0.1148505832,0.4840601285,0.2473228903,0.2815978081,0.2428884223,,4.901689651,0.7716182136,5.673307864,0.1669825949,,,,0.03893841558,,,,0.0005112178824,,7.6544E-05,,0.00214247,0.00013787,0.00037545,0.00027201,0.00033918,1.599772859,0.8308331087,0.4178309041,0.6935491389,0.01347711493,0,0,0,1.346225802,0.1194509704,0.3467804835,1.175564896,0.4129628426,0.02472870415,0.01305578574,16.72576266,,,,,,,,,
34,0.1860676054,1.371363069,0.7502836928,0.2648274562,1.318405699,,8.151271604,1.588756775,9.740028378,0.7570495162,0.8610782984,0.001147862963,,0.1019475307,0.006493363423,0.001055668051,0.0003016194432,0.001667452331,,0.00653966,0.04909036,0.00485953,0.00064159,0.00517689,0.01292097,0.00146616,2.453866267,1.441959594,0.6340636565,1.177069117,0.02548603295,0,0,0,2.418825774,0.260364491,0.6987937718,2.246513776,0.732576488,0.02715705447,0.01742648507,33.27533799,,,,,,,,,
