date,blh,t2,u10,v10,tp,tcc
2019-06-09 03:00:00,215.859611806924,284.9024601632,1.49615654636786,-4.61919790070058,0,0
2019-06-09 04:00:00,231.936669779874,284.732973340066,1.49654323220528,-4.78214567389727,0,0
2019-06-09 05:00:00,237.862508455801,284.5000858905,1.52631804168633,-4.70426344355268,0,0
2019-06-09 06:00:00,240.954250373675,284.036194178291,1.70651364192229,-4.60294093028885,0,0
2019-06-09 07:00:00,225.083308528584,283.770037093072,1.45864802013849,-4.3091812556396,0,0
2019-06-09 08:00:00,208.697076363848,283.36326871755,1.12687157163535,-4.19160177196404,0,0
2019-06-09 09:00:00,193.856715158048,282.972193566391,0.831830277686761,-4.03432503495749,0,0
2019-06-09 10:00:00,166.443270152891,283.136030828755,0.294723649515604,-4.07629070276452,0,0
2019-06-09 11:00:00,174.018037851684,283.060075622832,0.141982743736189,-4.40596693995132,0,0
2019-06-09 12:00:00,195.45411514895,284.057536963426,-0.462407220145394,-4.83923410487801,0,0
2019-06-09 13:00:00,242.603179396542,285.739850615279,-1.06602381235214,-4.8967006049381,0,0
2019-06-09 14:00:00,293.874566201301,287.961383456289,-1.49524509188417,-4.76664484164422,0,0
2019-06-09 15:00:00,337.777301435124,289.754805136642,-1.81194079272807,-4.60634355200293,0,0
2019-06-09 16:00:00,365.087688376353,290.618560205653,-1.87651732757658,-4.16060010745794,0,0
2019-06-09 17:00:00,383.174378595921,291.528139489807,-1.71526933337401,-3.58026407066696,0,0
2019-06-09 18:00:00,403.476817189966,291.911054164296,-1.61859787401995,-3.0577726030154,0,0.00238048006347946
2019-06-09 19:00:00,388.378810824343,291.924236472762,-1.91789271218012,-2.31146424039299,0,0.0616483298490837
2019-06-09 20:00:00,272.850721159752,291.268259694335,-2.21100057694163,-1.12508346941573,0,0.204034608517846
2019-06-09 21:00:00,196.742340948065,290.11574929702,-2.40163669478784,-1.42489224933445,0,0.165534921337341
2019-06-09 22:00:00,219.775818236232,289.640558463269,-2.69087770117518,-2.40484730299063,0,0.188592007080402
2019-06-09 23:00:00,266.770295387931,289.261410162628,-2.27287031092823,-3.17762050116702,4.37005287673084e-06,0.445897486762394
2019-06-10 00:00:00,240.902721341711,289.270826097247,-1.48944480432293,-3.23811155386185,3.30181772908653e-05,0.809058031831291
2019-06-10 01:00:00,198.339740938967,289.725929603811,-0.826665278991491,-2.86873806334407,4.95272659362979e-05,0.838127355683396
2019-06-10 02:00:00,195.660231276808,289.849592211802,-0.226528859321487,-2.84983460937694,8.0603197504173e-05,0.73138724001648
2019-06-10 03:00:00,243.324585844046,289.868424081039,0.526735151965348,-3.49935728768763,0.000169218158615689,0.838432545435124
2019-06-10 04:00:00,261.823508319331,289.987692586208,1.10676390808971,-3.83016773211245,0.000250792478981359,0.574580745578563
2019-06-10 05:00:00,319.123791863946,290.142113913952,2.14926892576389,-3.64945071218666,6.09379595588773e-05,0.501304686188638
2019-06-10 06:00:00,390.903733390608,290.059881418284,2.4543640514853,-3.72695487345191,6.4822451004861e-05,0.69558848213877
2019-06-10 07:00:00,413.112746167343,290.039166362123,2.94081483495493,-3.89217106112465,3.05903701371246e-05,0.789098622068271
2019-06-10 08:00:00,420.739042898101,290.009035371343,3.42069195918849,-3.79084854786082,1.7237430791555e-05,0.650634031709215
2019-06-10 09:00:00,438.155855702129,289.956306137479,3.57768640917948,-3.39916898166182,9.4684478995858e-06,0.676910869333008
2019-06-10 10:00:00,366.324385143502,289.416459219347,3.23314932804161,-2.13944280929208,2.9133685844878e-06,0.868890482657592
2019-06-10 11:00:00,322.009417653962,289.341131742399,2.75327220380806,-1.59729174951471,9.71122861495935e-07,0.758213419193383
2019-06-10 12:00:00,287.588024301622,289.170389461315,2.54214173657879,-1.96893365450854,0,1
2019-06-10 13:00:00,344.218430430697,289.461655705516,3.11172997509291,-1.43169749276262,0,1
2019-06-10 14:00:00,353.029894896641,290.107588820351,3.31087318136227,-0.0543918367173135,0,1
2019-06-10 15:00:00,396.056636587066,290.906687804981,2.88551876020441,0.203829344473723,0,1
2019-06-10 16:00:00,467.372816826047,291.111327450692,2.23627323918254,0.1921092030141,9.71122861495935e-07,1
2019-06-10 17:00:00,426.819468669921,291.264493320487,1.63652350534996,0.381521811764773,9.71122861495935e-07,1
2019-06-10 18:00:00,520.499248781531,291.250683283047,1.27381218985352,0.868096716878776,1.94224572299187e-06,1
2019-06-10 19:00:00,514.058119785958,291.240011890479,1.07041543937258,0.631047404130928,1.52951850685631e-05,0.925716814429371
2019-06-10 20:00:00,420.84210096203,290.934307879862,0.428516949261623,-0.162141524329971,3.88449144598374e-06,0.980010071261807
2019-06-10 21:00:00,43.5980579493282,290.752894206211,-0.167752612034219,-0.616202488620505,9.71122861495935e-07,0.9165916408527
2019-06-10 22:00:00,70.8569158585917,289.785563856396,-1.1626952717062,-0.609019176112995,7.52620217659393e-06,0.480078738955946
2019-06-10 23:00:00,78.3801545254207,289.072463741282,-1.31659623499787,-0.966294456091808,9.4684478995858e-06,0.562647826285993
2019-06-11 00:00:00,79.3076771007832,288.869707282495,-1.24505935507586,-1.19616045633214,1.57807464993102e-05,0.42816596218699
2019-06-11 01:00:00,60.5511094656754,288.585973785989,-1.27986108044332,-0.594274482018631,1.52951850685631e-05,0.435246364427083
2019-06-11 02:00:00,61.8908642967547,288.143424858915,-1.2388723816772,0.666963966668481,3.88449144598374e-06,0.392184090458242
2019-06-11 03:00:00,70.7538577946625,287.848392240866,-1.19672362539883,1.26847187190265,0,0.372621427372469
2019-06-11 04:00:00,93.3235737951493,287.820772165985,-0.904775818149572,1.84011231986875,0,0.457738849129446
2019-06-11 05:00:00,134.649857430744,287.852786343688,-0.96045857873751,2.46430436986348,0,0.542718935498146
2019-06-11 06:00:00,207.357321532768,287.88731143729,-1.47049719828953,3.27412833781546,9.71122861495935e-07,0.556116765599011
2019-06-11 07:00:00,291.555759762895,287.485564893564,-2.71717233811949,3.93839571022051,4.49144323441918e-05,0.703920162360948
2019-06-11 08:00:00,366.582030303325,287.009118601864,-4.23839442251497,3.83669512787734,1.23818164840736e-05,0.746311018875986
2019-06-11 09:00:00,451.604933044885,286.768698404603,-5.7890046305541,3.03934743954367,1.52951850685631e-05,0.902064608670441
2019-06-11 10:00:00,466.702939410507,287.565914202309,-6.36864670084104,1.83406321459927,0.000218502643836615,0.989501472540552
