date,date,ws,temp,rh,pres,blh
2019-03-09 12:00:00,2019-03-09 23:30:00,2.2083333333333335,292.39166666666665,63.916666666666664,1023.7916666666666,958.6570487053633
2019-03-10 12:00:00,2019-03-10 23:30:00,2.975,293.95416666666665,61.583333333333336,1020.0833333333334,815.2667820489223
2019-03-11 12:00:00,2019-03-11 23:30:00,1.925,294.5625,73.83333333333333,1013.0416666666666,702.5835243573752
2019-03-12 12:00:00,2019-03-12 23:30:00,1.9947368421052631,410.1958333333334,88.57894736842105,1008.75,366.05815181168555
2019-03-13 12:00:00,2019-03-13 23:30:00,1.6166666666666667,381.09999999999997,81.88888888888889,1010.4166666666666,564.2516910054576
2019-03-14 12:00:00,2019-03-14 23:30:00,1.5260869565217392,295.59999999999997,76.8695652173913,1012.8333333333334,457.6660354297189
2019-03-15 12:00:00,2019-03-15 23:30:00,2.85,296.12916666666666,80.79166666666667,1013.75,581.6642097234889
2019-03-16 12:00:00,2019-03-16 23:30:00,2.4791666666666665,296.84999999999997,78.625,1011.25,463.38575797778753
2019-03-17 12:00:00,2019-03-17 23:30:00,1.0208333333333333,296.99583333333334,74.875,1006.25,298.6002078410526
2019-03-18 12:00:00,2019-03-18 23:30:00,2.316666666666667,295.9291666666667,61.541666666666664,1008.0,580.1204858075497
2019-03-19 12:00:00,2019-03-19 23:30:00,2.6041666666666665,288.7708333333333,67.83333333333333,1017.7916666666666,636.4588940888261
2019-03-20 12:00:00,2019-03-20 23:30:00,1.952173913043478,289.43333333333334,57.78260869565217,1020.125,822.8308145327231
2019-03-21 12:00:00,2019-03-21 23:30:00,1.2952380952380953,290.7375,64.57142857142857,1016.7916666666666,591.6522537526238
2019-03-22 12:00:00,2019-03-22 23:30:00,1.3875,291.53749999999997,66.125,1015.2916666666666,604.7105692696476
2019-03-23 12:00:00,2019-03-23 23:30:00,2.7875,294.28333333333336,59.416666666666664,1010.875,556.1294273420402
2019-03-24 12:00:00,2019-03-24 23:30:00,2.9375,289.96250000000003,60.833333333333336,1015.4583333333334,1040.7342084529475
2019-03-25 12:00:00,2019-03-25 23:30:00,2.5166666666666666,290.2791666666667,63.416666666666664,1019.4583333333334,811.8980715842384
2019-03-26 12:00:00,2019-03-26 23:30:00,1.6416666666666666,290.50416666666666,69.875,1023.9583333333334,698.5191719611693
2019-03-27 12:00:00,2019-03-27 23:30:00,2.9499999999999997,293.1083333333333,65.79166666666667,1024.2916666666667,666.7815823569836
2019-03-28 12:00:00,2019-03-28 23:30:00,2.5869565217391304,294.6875,69.52173913043478,1020.125,514.1504426348944
2019-03-29 12:00:00,2019-03-29 23:30:00,1.0916666666666666,296.3041666666667,76.45833333333333,1013.2083333333334,364.9567187534428
2019-03-30 12:00:00,2019-03-30 23:30:00,0.9666666666666667,297.925,72.625,1012.1666666666666,230.27056441301895
2019-03-31 12:00:00,2019-03-31 23:30:00,1.7916666666666667,297.48333333333335,69.75,1012.5416666666666,309.29033493070483
2019-04-01 12:00:00,2019-04-01 23:30:00,1.375,297.22083333333336,78.375,1009.9166666666666,292.48113529525864
2019-04-02 12:00:00,2019-04-02 23:30:00,2.908333333333333,297.6875,61.708333333333336,1008.5416666666666,528.0740164803241
2019-04-03 12:00:00,2019-04-03 23:30:00,1.8333333333333333,295.07916666666665,71.20833333333333,1002.75,414.1433268066343
2019-04-04 12:00:00,2019-04-04 23:30:00,3.829166666666666,291.0125,75.04166666666667,1006.7083333333334,896.4207133071417
2019-04-05 12:00:00,2019-04-05 23:30:00,1.5041666666666667,289.9291666666667,66.83333333333333,1018.4583333333334,663.9453385559328
2019-04-06 12:00:00,2019-04-06 23:30:00,1.7666666666666666,290.9458333333333,66.66666666666667,1017.3333333333334,449.7284174641749
2019-04-07 12:00:00,2019-04-07 23:30:00,1.425,293.25416666666666,63.666666666666664,1016.2916666666666,311.4652894882099
2019-04-08 12:00:00,2019-04-08 23:30:00,1.2750000000000001,294.89166666666665,62.541666666666664,1015.8333333333334,242.22529982880187
2019-04-09 12:00:00,2019-04-09 23:30:00,1.8333333333333333,296.25416666666666,61.083333333333336,1012.1666666666666,361.7855362446224
2019-04-10 12:00:00,2019-04-10 23:30:00,2.1125000000000003,293.72083333333336,75.70833333333333,1011.125,498.2043542848548
2019-04-11 12:00:00,2019-04-11 23:30:00,1.0041666666666667,288.3,73.75,1015.8333333333334,655.7307520435791
2019-04-12 12:00:00,2019-04-12 23:30:00,2.6750000000000003,291.2916666666667,62.75,1011.0,655.0973743590145
2019-04-13 12:00:00,2019-04-13 23:30:00,1.7458333333333333,294.125,67.33333333333333,1008.75,324.6094867251752
2019-04-14 12:00:00,2019-04-14 23:30:00,2.0125,295.0125,69.5,1014.125,391.5521403761622
2019-04-15 12:00:00,2019-04-15 23:30:00,1.9749999999999999,289.4291666666667,69.25,1020.6666666666666,558.6006738333418
2019-04-16 12:00:00,2019-04-16 23:30:00,2.120833333333333,292.4583333333333,69.5,1015.4583333333334,469.4618896636111
2019-04-17 12:00:00,2019-04-17 23:30:00,1.8083333333333333,293.6666666666667,66.29166666666667,1011.25,505.5794469847854
2019-04-18 12:00:00,2019-04-18 23:30:00,1.7958333333333334,294.1875,67.33333333333333,1008.2916666666666,372.03551951957706
2019-04-19 12:00:00,2019-04-19 23:30:00,1.9625000000000001,296.1666666666667,64.75,1008.0,381.950564086762
2019-04-20 12:00:00,2019-04-20 23:30:00,1.7208333333333332,290.22499999999997,72.66666666666667,1013.5,589.4687110231246
2019-04-21 12:00:00,2019-04-21 23:30:00,0.8208333333333333,289.2375,73.16666666666667,1016.125,420.0154894075979
2019-04-22 12:00:00,2019-04-22 23:30:00,1.6043478260869564,290.27916666666664,70.34782608695652,1018.75,557.0741262613911
2019-04-23 12:00:00,2019-04-23 23:30:00,1.2521739130434784,289.28333333333336,78.73913043478261,1019.5833333333334,492.65210109067135
2019-04-24 12:00:00,2019-04-24 23:30:00,3.25,291.84583333333336,76.625,1020.1666666666666,609.788325961158
2019-04-25 12:00:00,2019-04-25 23:30:00,3.670833333333333,291.575,81.5,1018.4166666666666,801.1242098176434
2019-04-26 12:00:00,2019-04-26 23:30:00,2.470833333333333,290.65833333333336,94.25,1010.5416666666666,546.2186768608525
2019-04-27 12:00:00,2019-04-27 23:30:00,0.8208333333333333,291.37083333333334,88.70833333333333,1009.6666666666666,278.9225587595782
2019-04-28 12:00:00,2019-04-28 23:30:00,1.7166666666666668,291.96250000000003,79.0,1008.5833333333334,387.65740437683934
2019-04-29 12:00:00,2019-04-29 23:30:00,2.0416666666666665,290.58750000000003,67.58333333333333,1013.75,513.3238310804625
2019-04-30 12:00:00,2019-04-30 23:30:00,1.7434782608695654,286.4916666666667,70.95652173913044,1016.7083333333334,501.76200453340965
2019-05-01 12:00:00,2019-05-01 23:30:00,2.9250000000000003,291.09583333333336,58.041666666666664,1007.6666666666666,483.98019441963197
2019-05-02 12:00:00,2019-05-02 23:30:00,1.6291666666666667,293.31666666666666,73.375,1003.9583333333334,365.8434475118331
2019-05-03 12:00:00,2019-05-03 23:30:00,2.0875,293.6458333333333,62.5,1010.5,296.41022398255797
2019-05-04 12:00:00,2019-05-04 23:30:00,2.85,292.40833333333336,85.0,1010.1666666666666,383.7283156895399
2019-05-05 12:00:00,2019-05-05 23:30:00,2.558333333333333,290.325,89.91666666666667,1014.25,432.8161597647996
2019-05-06 12:00:00,2019-05-06 23:30:00,1.7416666666666665,288.8875,74.41666666666667,1020.0,521.5963877537766
2019-05-07 12:00:00,2019-05-07 23:30:00,2.4166666666666665,289.5416666666667,78.16666666666667,1018.7916666666666,469.0324810639063
2019-05-08 12:00:00,2019-05-08 23:30:00,2.7416666666666667,290.69166666666666,76.33333333333333,1013.9166666666666,465.1377450645832
