Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Sr,Ba,Pb,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C ,OCPk2 C ,OCPk3 C ,OCPk4 C ,OCPk5 C ,OCPk6 C ,OCPk7 C ,OCPk8 C ,Pyrol C ,ECPk1 C ,ECPk2 C ,ECPk3 C ,ECPk4 C ,ECPk5 C,ECPk6 C,PM2.5,23Na (KED),25Mg (KED),Al,39K (KED),43Ca (KED),48Ti (KED),51V (KED),52Cr (KED),55Mn (KED),56Fe (KED),59Co (KED),60Ni (KED),63Cu (KED),66Zn (KED),75As (KED),82Se (KED),95Mo (KED),107Ag (KED),111Cd (KED),121Sb (KED),135Ba (KED),201Hg (KED),208Pb (KED)
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF,TXRF e Ionica,TXRF,TXRF,TXRF e ICP-MS,TXRF,TXRF,TXRF e ICP-MS,TXRF,TXRF e ICP-MS,TXRF,TXRF e ICP-MS,TXRF,TXRF,TXRF,TXRF,TXRF,TXRF e ICP-MS,ICP-MS,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS,ICP-MS y TXRF,ICP-MS y TXRF,ICP-MS,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,,,,,,,,,,,,,,,,,,,,,,,
9,0.168578151145097,0.420521049758434,0.298364833808839,0.315539113135943,0.163381135703731,NA,5.6838583881451,0.863369996668138,4.79950555916634,NA,0.337011689120454,0.235341817886889,0.120008809438114,0.631716506405244,0.011716883614943,0.001912384872504,2.41821105854316E-06,0.002675565925827,0.108172645774875,4.27125467380035E-05,0.005016686110926,0.018890947189352,0.002727142950956,0,NA,0.00259255904341,NA,0.004456590024451,0.001128422356176,0.008128735412411,0.020332894810314,0.001639166580913,0.000167737755832,0.00015135080402,0.002132349275382,0.006031044366546,1.75849385950027,1.1142480008192,0.525958778199097,0.862482696679339,0.015661789469474,0,0,0,1.40701455171752,0.133828706207851,0.265578828190003,1.30070381465453,0.506357634301232,0.022847846738657,0.016202728203996,14.4347161795852,,,,,,,,,,,,,,,,,,,,,,,
10,0.233712406463874,0.218008944937378,0.327433894000659,0.342552269109268,0.094536565544602,NA,6.2160870833805,1.01370603754129,6.54722838481324,NA,0.300801291049431,0.428059919754431,0.113039444119004,0.070076566450074,0.001565851519719,NA,0.000153926152778,0.002524057984107,0.202259077582849,0.000648744313617,0.006986289353283,0.011618565986803,0.000757539708599,0.00030301588344,NA,0.001986527276531,NA,0.003093018548973,NA,0.004188899169432,0.010512545850921,0.004323822498996,0.000318297682368,0.00104340181945,0.000826433181327,0.002616911671575,1.95343130300757,1.39700954616637,0.640029308268934,1.07747343513776,0.031744040301634,0,0,0,1.11639874664711,0.096354513153363,0.310741105282434,1.2816352178082,0.378402671831173,0.020427178895679,0.017679296250721,16.5828625164826,,,,,,,,,,,,,,,,,,,,,,,
11,0.150752291137622,0.351902445967774,0.446602307716576,0.31449792082862,0.066599638523506,NA,5.50534560816048,1.31662142799818,7.22979312092179,NA,0.300801291049431,0.275642930384347,0.130159841533338,0.429756420092797,0.009444264489147,NA,0.000911465861377,0.006917788293981,0.181957013392401,0.001254776080496,0.008501368770481,0.020860550431709,0.001515079417198,0.00015150794172,NA,0.00259255904341,NA,0.004153574141011,NA,0.008003754451555,0.024354698987071,0.005849151032297,0.000241302879859,0.00186103324041,0.007195144819344,0.003644305930013,1.43128977446544,1.14124556079812,0.529888744899044,1.04450653690382,0.02344790833602,0,0,0,1.33496705344404,0.113857175241482,0.329378502702589,1.59710582430553,0.54967111233352,0.020863084321437,0.01584759386958,14.5432867525685,,,,,,,,,,,,,,,,,,,,,,,
12,0.301787951243547,0.34846826595546,0.681964150293959,0.354352448592262,0.059365969919829,NA,3.38884672297688,1.72254210301627,6.82196703615866,NA,0.596544793286412,0.217615388705677,0.085010474900848,0.654745713546648,0.015353074216217,0.000851829280465,0.002123529395135,0.003433105634426,0.448762498760907,0.001254776080496,0.003198590810289,0.044798805223432,0.002121111184077,0.001666587358917,NA,0.00228954315997,NA,0.007941272684006,8.02338050883398E-05,0.012459956034112,0.058276403835793,0.003560773062105,0.00039586931151,0.00179981177211,0.00580014121683,0.002553854194168,1.45985011715998,0.57037124740046,0.312528931230737,0.602384967955493,0.005376135502331,0,0,0,0.438334812151371,0.04308089574414,0.135185855338641,0.870576398165803,1.01648137006434,0.060487370731022,0.010200227308896,13.2895551359688,,,,,,,,,,,,,,,,,,,,,,,
13,0.126918793653452,0.309724319817818,0.336581450327924,0.320559685328854,0.026375079747864,NA,3.6692184277218,0.840715928713726,5.11138882599315,NA,0.194075073577445,0.399794564708073,0.085640087133366,-0.074307512996194,0.002606597920036,NA,0.001051761053066,0.001004119708563,0.078960664047312,0.000492751271885,0.021926895525045,0.040421282338239,0.003022683667708,0,NA,0.000465841484318,NA,0.008827894834262,NA,0.014028823077856,0.034601555984743,0.001637017503445,0.000114812839321,0.000272385291354,NA,0.000558097581199,1.10999740990517,0.510419511147244,0.407569099570813,1.04725872361544,0.008439122959582,0,0,0,0.585533006312502,0.031806088713067,0.09731082356031,0.647928244345725,0.594239018720907,0.021360134045092,0.008800937821423,NA,,,,,,,,,,,,,,,,,,,,,,,
14,0.140740285648087,0.404489341778338,0.482209728823062,0.332533593373682,0.16590268337904,NA,5.36634426987641,0.661684249814664,4.50993435643553,NA,0.486029174156398,0.21004613938829,0.158463830718934,0.787834591992087,0.00609568444568,0.001758039107641,0.002721250394239,0.003578532526554,0.091493078280181,0.001402635392461,0.002889291175605,0.034279690014137,0.002118273360934,NA,NA,0.001678849255071,NA,0.011561652556342,NA,0.020814091636613,0.046062681835836,0.005439933637853,0.000342158105561,0.001463718072968,0.012296131745416,0.001815339644955,1.47918101364946,1.1957871325881,0.524731617425202,0.918413027077563,0.023980319347307,0,0,0,1.22425082202711,0.129883347267795,0.332365496165447,1.07491492747093,0.294237752686054,0.016511334362523,0.013190547195802,12.4998901174102,,,,,,,,,,,,,,,,,,,,,,,
15,0.438002775131967,0.363493751535459,0.571451069115004,0.398130351703314,0.03010455851578,NA,7.41679189544256,2.39385032045403,6.02802851969108,NA,0.645299289432575,0.225201534892568,0.158463422925228,0.709639027934825,0.004419280206903,0.000999844916809,0.001958052231913,0.004328572097172,0.202868524422334,0.000794819780308,0.006510423661939,0.050390028486472,0.000906719446735,0.000302239815578,NA,0.003034665782789,NA,0.004444560972601,NA,0.00682533503388,0.060020972872715,0.007272386462683,0.000672817402364,0.002743599538609,0.009120746024683,0.001542650796564,2.5857816879049,1.11977072781722,0.535498973917695,0.909801336970606,0.03330951910018,0,0,0,2.23262797305289,0.171633968551941,0.595289745578943,2.95005618338329,0.845190516992504,0.022967184440299,0.016539286728785,21.4960628212319,,,,,,,,,,,,,,,,,,,,,,,
16,0.136261730387603,0.374998842776664,0.500167626239675,0.291015102300937,0.109699716257377,NA,4.75410898499348,0.753780788195396,9.81064221589659,NA,0.269648676906486,0.16146505412193,0.138294112741985,0.489245818413204,0.007649602962129,NA,NA,0.001012520881527,0.044221301783034,-0.000258395936523,0.002752241557322,0.011058039338464,0.001062462992217,0,NA,0.000930876427808,NA,0.002188330670491,NA,0.004411778953139,0.007771870225177,0.001932083588311,0.000238440453353,0.000180396937348,0.005704237762523,0.001761073480236,1.27419299128411,0.974028955666775,0.666140526152036,1.4351375682666,0.017709297786648,0,0,0,0.386899657520845,0.03347800122889,0.121515319601482,0.67718438217454,0.268319737066549,0.011102233898286,0.004171327432464,14.3337834178004,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,0.013082718776533,0.044923620843867,0.017107274683057,0.000715265826022,0.001228789124608,0.060657349248137,0.002406620266801,,,,,,0,0,0,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
18,0.164494489987144,0.657466782848565,0.426127497528945,0.279547194215603,0.225120593826741,NA,6.0019643946842,0.66913018095691,6.67109457564111,NA,0.200614313169128,0.235481464713564,0.137323902329078,0.242052526237377,0.007683645316189,0.000843182676876,0.000428840574551,0.003401761696413,0.093485095479577,0.001386829164139,0.006472320128443,0.028732863206237,0.001955552511523,NA,NA,0.001508225291499,NA,0.006829918295876,NA,0.014849284939639,0.034590329429946,0.008128183502551,0.000300665884128,0.001476069794703,0.004427312329268,0.005868102978871,1.78574802220171,1.1988436232439,0.520888843804627,0.824245401379617,0.021514649067227,0,0,0,1.65072416074479,0.210739121108623,0.413476841047757,1.31424215426554,0.32217341400931,0.020730024478153,0.013805450527863,17.4732269734027,,,,,,,,,,,,,,,,,,,,,,,
