Filtro,,K,K,Ca,Ca,Ti,Ti,Ti,V,V,Mn,Mn,Mn,Fe,Fe,Ni,Ni,Ni,Cu,Cu,Zn,Zn,Zn,As,As,Se,Se,Ba,Ba,Pb,Pb,Pb,Mo,Mo,Sb,Sb
Unidad,,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,Observ,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP CR,TXRF,ICP-MS,ICP CR,ICP-MS,ICP CR,ICP-MS,ICP CR
37,,0.17,0.39,0.45,0.23,0.0146,0.0159,0.0109,NA,0.0011,0.0054,0.0054,0.005,0.1439,0.1789,0.0017,0.0018,0.0034,0.011,0.0192,0.0285,0.0321,0.0593,0.0006,0.0003,< LD,NA,NA,0.004,0.0017,0.0036,0.0104,0.0002,0.002,0.0006,0.0008
38,,0.05,0.55,0.34,0.21,0.0083,0.0058,0.0047,NA,0.0006,0.0018,0.0034,0.003,0.0785,0.1025,0.0002,0.0002,0.0027,0.0192,0.0372,0.0472,0.0796,0.1259,0.0021,0.0005,0.0024,0.0007,NA,0.005,0.0103,0.0221,0.0366,0.0003,0.0013,0.0046,0.0047
39,,0.05,0.14,0.19,0.23,0.0043,0.0028,0.0028,NA,0.0006,0.0005,0.0019,0.002,0.0451,0.0798,0.0005,NA,0.0007,0.0045,0.0102,0.0171,0.0169,0.1163,0.0006,0.0006,0,NA,NA,0.0037,0.0022,0.0039,0.0108,0.0002,0.0009,0.0028,0.0028
40,,0.32,0.55,0.73,0.16,0.011,0.012,0.0054,0.0008,0.0016,0.0038,0.0051,0.005,0.0884,0.1207,0.0011,0.0004,0.0025,0.0072,0.0193,0.0642,0.0716,0.1003,0.0015,0.0007,0.0002,0.0008,NA,0.005,0.0061,0.0095,0.0218,0.0004,0.007,0.0058,0.0066
41,,,1.04,,0.58,,0.0257,0.0205,,0.0011,,0.0076,0.0087,,0.2733,,0.0001,0.0073,,0.0219,,0.0233,0.0638,,0.0003,,NA,,0.0081,,0.0016,0.0048,0.0001,0.0008,0.001,0.0009
42,,,1.87,,0.74,,0.012,0.0098,,0.0009,,0.0031,0.0046,,0.105,,0.0001,0.0097,,0.0334,,0.0152,0.0917,,0.0003,,NA,,0.0031,,0.001,0.0055,0.0002,0.0007,0.0003,0.0004
43,,,1.59,,0.66,,0.0108,0.0095,,0.0032,,0.0042,0.0055,,0.1796,,0.0015,0.0134,,0.0456,,0.0261,0.0917,,0.0007,,0.0006,,0.0129,,0.0063,0.0213,0.0004,0.001,0.0031,0.0033
44,,,1.75,,NA,,,0.0087,,0.0016,,,0.0046,,0.1445,,,0.0135,,0.0813,,,0.0754,,0.0004,,NA,,0.0048,,,0.0039,,0.0008,,0.0015
45,,,1.2,,0.46,,,0.0093,,0.0008,,,0.0079,,0.2522,,,0.0139,,0.0563,,,0.1153,,0.0005,,0.0006,,0.0103,,,0.0394,,0.0023,,0.0066
46,,,0.99,,0.21,,,0.0069,,0.0065,,,0.0053,,0.1898,,,0.0098,,0.0406,,,0.0568,,0.001,,0.0003,,0.0053,,,0.0494,,0.0012,,0.0037
47,,,0.24,,0.39,,,0.0077,,0.0016,,,0.0051,,0.1795,,,0.0032,,0.0791,,,0.0822,,0.0006,,0.0017,,0.006,,,0.053,,0.0006,,0.0025
48,,,0.66,,0.16,,,0.0091,,0.0057,,,0.0091,,0.2773,,,0.0053,,0.0221,,,0.1038,,0.0008,,NA,,0.0128,,,0.0133,,0.0014,,0.0046
49,,,0.61,,0.24,,,0.0034,,0.0026,,,0.0041,,0.086,,,0.0034,,0.0113,,,0.0852,,0.0003,,NA,,0.0037,,,0.0089,,0.0005,,0.0006
50,,,0.67,,0.31,,,0.0076,,0.0009,,,0.0042,,0.1506,,,0.0017,,0.013,,,0.0543,,0.0004,,NA,,0.0057,,,0.0074,,0.0005,,0.0008
51,,,1.05,,NA,,,0.0125,,0.001,,,0.0069,,0.2621,,,0.0136,,0.0685,,,0.1108,,0.0011,,NA,,0.0081,,,0.0139,,0.0007,,0.0089
52,,,0.95,,0.28,,,0.0082,,0.0007,,,0.0059,,0.1471,,,0.0005,,0.0214,,,0.0585,,0.0007,,NA,,0.0039,,,0.0159,,0.0006,,0.0044
53,,,0.86,,0.14,,,0.0067,,0.0042,,,0.0028,,0.1773,,,0.0025,,0.0076,,,0.048,,0.0005,,NA,,0.0055,,,0.008,,0.0008,,0.0015
54,,,0.39,,NA,,,0.0027,,0.0006,,,0.0034,,0.1128,,,0.0021,,0.0127,,,0.0486,,0.0002,,NA,,0.0023,,,0.0151,,0.0006,,0.0009
55,,,0.33,,0.21,,,0.0139,,0.0011,,,0.0071,,0.1974,,,0.0128,,0.0194,,,0.1063,,0.0005,,NA,,0.0064,,,0.0272,,0.0014,,0.0052
56,,,0.17,,0.25,,,0.0097,,0.0029,,,0.0031,,0.1276,,,0.0027,,0.0072,,,0.0483,,0.0003,,NA,,0.0074,,,0.0133,,0.0005,,0.0011
57,,,0.45,,NA,,,0.0094,,0.0016,,,0.0062,,0.1812,,,0.0016,,0.0042,,,0.0219,,0.0003,,NA,,0.003,,,0.0052,,0.0004,,0.0008
58,,,2.27,,0.31,,,0.0222,,0.0017,,,0.0076,,0.2754,,,0.0001,,0.0033,,,0.0083,,0.0003,,NA,,0.0072,,,0.0042,,0.0004,,0.0011
59,,,0.23,,0.04,,,0.0083,,0.0039,,,0.0057,,0.1699,,,0.0009,,0.0062,,,0.0271,,0.0004,,NA,,0.0044,,,0.0133,,0.0008,,0.0038
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,0.07,,NA,,,0.004,,0.0017,,,0.0015,,0.0625,,,0,,0.0009,,,NA,,NA,,NA,,0.0024,,,0.0007,,0.0004,,0.0007
62,,,0.12,,NA,,,0.005,,0.0013,,,0.0029,,0.0805,,,NA,,0.0032,,,0.0111,,0.0004,,NA,,0.0011,,,0.0193,,0.0004,,0.0018
63,,,0.03,,NA,,,0.004,,0.002,,,0.0017,,0.0701,,,0.0023,,0.0003,,,0.0022,,0.0002,,NA,,0.0016,,,0.0051,,0.0003,,0.0003
64,,,0.1,,NA,,,0.003,,0.0012,,,0.0022,,0.0689,,,0.002,,0.0002,,,0.0058,,0.0002,,NA,,NA,,,0.0017,,0.0003,,0.0002
65,,,0.08,,NA,,,0.004,,0.0008,,,0.0029,,0.0636,,,0.0024,,0.0013,,,0.0799,,0.0002,,,,0.0012,,,0.003,,0.0004,,0.0005
66,,,0.02,,NA,,,NA,,0.0007,,,0.0009,,0.0115,,,0.0009,,0.0022,,,0.01,,0.0003,,NA,,NA,,,0.0062,,0.0003,,0.0008
67,,,0.14,,NA,,,0.005,,0.0006,,,0.0053,,0.1952,,,0.001,,0.0233,,,0.0519,,0.0005,,NA,,0.0062,,,0.0238,,0.0007,,0.0063
68,,,0.06,,0.12,,,0.004,,0.0016,,,0.0027,,0.0742,,,0.0003,,0.0045,,,0.0168,,0.0002,,NA,,0.0017,,,0.0094,,0.0006,,0.0013
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
