,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,PM2.5,Na.1,Mg.1,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
Ca,0.0003880510286416017,-0.17823507896726806,-0.23265419601572498,-0.0065096063478527555,-0.051159581348195045,,-0.03841760244431978,-0.08900595206698095,-0.05724086918369252,0.18213402189541916,1.0,-0.17935131188098383,0.15520068030584477,0.371593060130394,0.4517260933874947,0.11586174304345787,-0.017582525466786583,0.8266552310087052,0.10104086609930624,0.11935657572188882,-0.013169178239370393,0.4192964349549695,0.10721401010849868,0.02199012021530402,0.5393031307231446,0.13528689903132282,-0.0914708530160433,0.16820158271355626,0.5952442114203412,0.6038470310001873,0.5059457676267525,0.521515925800613,0.18477458511660957,-0.0341358520722951,0.428569959384639,-0.02637252421612557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,0.1279251424357386,0.4905117088064777,0.38786357262217164,0.0506426251803573,0.5033331970706265,,0.363443376872693,0.33506172792257216,0.38572533779912055,0.7271161264789547,-0.17935131188098383,1.0,0.10570550335093314,0.18572911450185942,0.10737077494955723,0.44697077287479503,0.3056929463180229,0.1385604885615718,-0.11312791678318987,0.23140164942987534,0.17739933582337536,0.1855479065219469,0.31938775329567487,-0.01233522448007077,-0.08618141705864739,0.0012975024623169298,0.47679660711852406,-0.19203164922897012,-0.15350879425034497,-0.12738458028819097,0.16866173039564075,0.34721922386046533,-0.10024234568268918,0.046486177524508,0.3336516001301017,-0.04648197855212998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,0.26287922615727655,0.3349369501394677,-0.06616020453899397,0.1939143613294973,0.3329312228436977,,0.24988800593405727,0.2632207375974963,0.2693435852434078,0.7815790025878415,0.15520068030584477,0.10570550335093314,1.0,0.448239394449847,0.40194266595129485,0.27429496015715427,-0.10727092898370383,-0.49802740256840516,0.32977256400895333,0.4362034598441496,0.5077863266180885,0.5206389930215092,0.7974406741779548,0.018118983989487768,0.16555689029952356,0.4123690346056696,0.25677245851938646,-0.12364607610831185,0.2518492597188509,0.09517716263432306,0.21807473332133392,0.1987241562419254,0.2920858035099399,0.3700862689010156,0.530132909347959,0.13466730817881298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe,0.31117612775892345,0.2772362451654547,-0.023368055710514344,0.19151842198739003,0.04202473257686231,,0.4606431609586371,0.2309706220725456,0.4617751233837905,0.38104647400309094,0.371593060130394,0.18572911450185942,0.448239394449847,1.0,0.28732572013811414,0.36692998155523676,0.10351338175846271,0.24424788517763746,-0.07456245475206695,0.31842368181375724,0.299820825894825,0.8026684732641411,0.3876341810740169,0.23773858145525892,0.6801702440329116,0.4350034295188229,0.5002613688033559,-0.13276456223876587,0.2591862528600586,0.6888055346695133,0.3075625981280077,0.20349529925505136,-0.07034009789267504,0.27986132384758544,0.6124454098434974,-0.015386504467053924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu,0.3602499179804883,0.15599993255057484,-0.33279235125362566,-0.04909986299714903,0.1629123809983584,,0.2058325791219656,0.09396901327406343,0.20440682879992647,0.310715075295471,0.4517260933874947,0.10737077494955723,0.40194266595129485,0.28732572013811414,1.0,0.5476023518548582,-0.0403085765512855,0.38324315293776157,0.38121543890556003,0.5875595951241038,0.5981564792963634,0.466503227672523,0.5615673189130348,-0.1996084324860076,0.18557911920460965,0.5003707176268202,0.12967329946577913,-0.019574396301323183,0.505429155803,0.2614969111993144,0.5489127307830893,0.5156854737877588,0.4084197849537522,0.40042736010188956,0.5328122445267255,0.13639874146930223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As,0.602688010245738,0.37182716245195735,0.13368870121032564,0.24573629998400107,0.3301628805498348,,0.6421462642633284,0.3844824652083057,0.6505319627076046,0.44612738764602855,0.11586174304345787,0.44697077287479503,0.27429496015715427,0.36692998155523676,0.5476023518548582,1.0,0.23977492491077676,-0.23123761915282218,0.1209176079578815,0.5123647348886726,0.4638578169633842,0.4462836831757609,0.42500063332109594,0.15746455425339959,0.09539499141172618,0.6429511834218573,0.6448758862515007,-0.07655945952701848,0.12937233901924994,0.16292138093669808,0.27890021421927863,0.532943547361293,0.3305151329705705,0.587090932768582,0.564387587340458,0.023353030543902007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se,-0.013160561127069691,0.5152010686812671,0.5414442889424217,0.15996991129497373,0.3628883338564534,,-0.026425661211937825,0.12954960327747983,-0.01025367695650467,0.09185383915484382,-0.017582525466786583,0.3056929463180229,-0.10727092898370383,0.10351338175846271,-0.0403085765512855,0.23977492491077676,1.0,-0.7864140274922161,0.049948582488780695,0.0014429740168963776,0.03287932167890512,-0.040024642717019,-0.14220052815526577,0.3080439427044224,-0.19404921566981034,-0.129382397803112,0.008332561499782216,-0.30860588292725527,-0.3047088585741849,0.03137644401164873,-0.23409364834079288,0.14899342375061234,-0.3106244893146677,-0.2531078378447711,-0.012497397382925624,-0.02143296801825481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr,-0.07449365945243505,-0.17997909449338859,-0.24375211978373662,0.712025683768654,-0.45496049097269586,,-0.5855024457894085,-0.11936279682494093,-0.525042172283905,0.19386181580939799,0.8266552310087052,0.1385604885615718,-0.49802740256840516,0.24424788517763746,0.38324315293776157,-0.23123761915282218,-0.7864140274922161,1.0,,-0.40675736717060884,-0.49853334686140566,-0.36074241289376135,-0.3561748805317451,-0.3882528009402061,0.31358505300553735,-0.26461089133180377,-0.2295058265485974,0.9141800241902949,0.9318826748968156,0.6666990764572823,0.9423585656017898,0.3295249006054083,-0.06124568823228583,-0.41037276710424897,0.030313006660666584,-0.4365110212857513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hg,-0.19294989212129607,-0.1346982436081793,-0.0535241625660663,0.2397688220204057,-0.33535576910124465,,0.2700201098046515,-0.1604885557236663,0.22139507242895198,,0.10104086609930624,-0.11312791678318987,0.32977256400895333,-0.07456245475206695,0.38121543890556003,0.1209176079578815,0.049948582488780695,,1.0,-0.05362992842727895,-0.11531824741862068,-0.07304569970421648,0.5474119711222919,0.18909835932398375,-0.2441722376612005,-0.014455823455537234,0.3082611832657973,-0.07697122999499917,-0.04371506545985755,-0.23701994133421778,0.31945069372314094,-0.032650412374528225,,-0.2788931704469229,-0.10247591898450424,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb,0.19045391621426788,0.3458732417854924,-0.07064103238685299,-0.09331316067248276,0.2027571802717109,,0.37981765052157623,0.3050959289484091,0.39893829392537616,0.06776989937392461,0.11935657572188882,0.23140164942987534,0.4362034598441496,0.31842368181375724,0.5875595951241038,0.5123647348886726,0.0014429740168963776,-0.40675736717060884,-0.05362992842727895,1.0,0.4868321358601237,0.3952319280645684,0.6272470200787477,-0.1715814507924225,0.03198908120219927,0.5096639462911602,0.3793668453352059,-0.08289735663675989,0.11147209819711469,0.07037648482483459,0.09677136915506229,0.1397205050060672,0.2898435548202665,0.27900017507141245,0.38079256706760756,-0.07137868483341424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
