date[yyyymmddHHMM];wdir;wspd[m/s];clht[km];hzvs[km];tmpd[C];dptp[C];slvp[hPa];press[hPa];prcpPeriod[hours];prcp[mm];sky[octas];skyOpaque[octas]
201801110300;90;2.1;22;10;29;20.7;1014.6;9999.9;;;03;99
201801110600;320;2.6;22;10;27.7;22;1013.6;9999.9;;;01;99
201801110900;320;2.1;99.999;10;26.8;20.2;1013.9;9999.9;;;00;99
201801111200;320;2.1;22;10;29.8;19.5;1014.7;9999.9;;;01;99
201801111500;340;3.6;99.999;10;35;21.2;1013.7;9999.9;;;00;99
201801111800;320;1;22;10;36.7;19.9;1011.9;9999.9;;;02;99
201801112100;360;1;6;10;34.8;17.3;1009.6;9999.9;;;06;99
201801120000;230;2.1;3;10;30.8;19.9;1011.3;9999.9;;;07;99
201801120300;90;3.1;6;10;29.5;18.3;1011.4;9999.9;;;07;99
201801120600;360;5.1;6;10;29.3;20;1009.4;9999.9;;;06;99
201801120900;320;4.1;6;10;27.8;21.3;1009.2;9999.9;;;05;99
201801121200;90;1;3;10;30.6;21.2;1009.4;9999.9;;;06;99
201801121500;320;1.5;3;10;30.6;22;1009.1;9999.9;;;08;99
201801121800;140;3.1;6;10;32.4;19.9;1006.9;9999.9;;;06;99
201801122100;320;6.2;1.05;10;29;22;1005.6;9999.9;;;07;99
201801130000;360;0.5;3;10;26.1;19.4;1005.7;9999.9;;;05;99
201801130300;270;2.1;3;10;24.4;19;1006.5;9999.9;;;06;99
201801130600;180;0.5;6;10;24.4;19.8;1006.4;9999.9;;;05;99
201801130900;50;1;22;10;23;20.6;1006.5;9999.9;;;04;99
201801131200;90;1.5;22;10;27;21.5;1008.1;9999.9;;;03;99
201801131500;360;1.5;0.6;10;29.8;21.2;1007.6;9999.9;;;06;99
201801131800;360;2.6;3;10;29.6;19.8;1007.2;9999.9;06;0;07;99
201801132100;90;3.6;0.54;9;23.7;22.2;1007.3;9999.9;;;08;99
201801140000;140;3.1;0.45;10;21.8;18.3;1009.7;9999.9;06;15;08;99
201801140300;140;3.6;0.45;10;19.8;16.5;1010.6;9999.9;;;08;99
201801140600;140;5.1;0.45;10;18.9;16.4;1009.1;9999.9;;;08;99
201801140900;140;4.1;0.45;9;17.8;16.6;1009.9;9999.9;;;08;99
201801141200;140;4.1;0.45;9;16.8;15.8;1010.6;9999.9;06;0.3;08;99
201801141500;160;4.1;0.45;9;19;17.2;1010.5;9999.9;;;08;99
201801141800;140;5.1;0.45;9;19.2;18.1;1010.3;9999.9;06;0.9;08;99
201801142100;140;2.6;0.45;10;20.5;18.4;1009.3;9999.9;;;08;99
201801150000;140;3.1;0.45;10;18.3;16.7;1010.5;9999.9;06;0.2;08;99
201801150300;140;2.6;22;10;17.7;15.5;1011.3;9999.9;;;01;99
201801150600;140;2.6;0.45;10;16.3;15.1;1010.9;9999.9;;;07;99
201801150900;140;2.6;0.3;10;16;15.7;1011.3;9999.9;;;08;99
201801151200;140;2.6;0.45;10;18.6;16.3;1013.4;9999.9;24;1;07;99
201801151500;90;1;22;10;25.4;17.5;1014;9999.9;;;01;99
201801151800;320;3.1;22;10;27.1;18.3;1013.2;9999.9;;;02;99
201801152100;360;4.1;22;10;25.4;17.9;1012.7;9999.9;;;01;99
201801160000;50;2.6;99.999;10;22.5;17.9;1013.6;9999.9;;;00;99
201801160300;50;2.6;22;10;22.1;17.8;1015.2;9999.9;;;03;99
201801160600;50;3.1;22;10;21.6;17.6;1015.4;9999.9;;;04;99
201801160900;50;1;22;10;20.8;18.4;1016.1;9999.9;;;01;99
201801161200;320;3.6;6;10;23.5;19.3;1017.4;9999.9;;;05;99
201801161500;360;1;22;10;27.1;19.1;1017.5;9999.9;;;04;99
201801161800;360;2.1;22;10;29.3;14;1016;9999.9;;;01;99
201801162100;360;2.6;22;10;28.3;16.6;1014.1;9999.9;;;02;99
201801170000;360;3.1;22;10;25;18.8;1014.1;9999.9;;;03;99
201801170300;360;1.5;22;10;24.8;19.6;1014;9999.9;;;04;99
201801170600;50;1.5;3;10;23.9;20.1;1014.2;9999.9;;;05;99
201801170900;360;1.5;6;10;23.9;19.9;1013.8;9999.9;;;05;99
201801171200;360;3.1;3;10;25.2;20.8;1013.4;9999.9;;;07;99
201801171500;230;1.5;3;10;29;21.3;1013.2;9999.9;;;08;99
201801171800;180;2.1;3;10;27.8;19.4;1012.3;9999.9;;;08;99
201801172100;140;1.5;2.7;9;24;18.7;1011;9999.9;;;08;99
201801180000;50;3.1;22;10;24.1;16.7;1011.6;9999.9;06;0;04;99
201801180300;90;0.5;22;10;22.1;20.3;1013.2;9999.9;;;02;99
201801180600;999;0;99.999;10;20.3;17.9;1011.5;9999.9;;;00;99
201801180900;180;3.1;99.999;10;19.3;17.5;1011.7;9999.9;;;00;99
201801181200;230;1.5;99.999;10;24.8;17.5;1013.4;9999.9;24;0;00;99
201801181500;180;3.1;99.999;10;31;16.2;1013.3;9999.9;;;00;99
201801181800;360;3.1;0.75;10;30.2;17.8;1012;9999.9;;;05;99
201801182100;320;1.5;0.75;10;29.2;17.9;1010.7;9999.9;;;05;99
201801190000;50;1.5;99.999;10;27.3;21.7;1011.3;9999.9;06;1;04;99
201801190300;270;1;99.999;10;25.5;18.2;1012.4;9999.9;;;00;99
201801190600;270;1;99.999;10;24;18;1012.1;9999.9;;;00;99
201801190900;140;1;22;10;20.8;16.9;1013.9;9999.9;;;03;99
201801191200;140;1;22;10;26.6;16.9;1015;9999.9;24;1;01;99
201801191500;140;1;99.999;10;31.9;14.3;1014.9;9999.9;;;00;99
201801191800;270;2.1;99.999;10;33;17.8;1013.6;9999.9;;;00;99
201801192100;360;4.1;99.999;10;29.8;18.6;1013;9999.9;;;00;99
201801200000;360;2.1;22;10;25.2;18.9;1014.1;9999.9;;;01;99
201801200300;50;1.5;22;10;24.6;18.2;1015;9999.9;;;01;99
201801200600;360;1.5;99.999;10;23.4;17.3;1014.6;9999.9;;;00;99
201801200900;50;1;99.999;10;21.7;16.1;1013.8;9999.9;;;00;99
201801201200;360;1.5;99.999;10;25.6;16.7;1014.7;9999.9;;;00;99
201801201500;360;1.5;99.999;10;30.2;16.5;1014.1;9999.9;;;00;99
201801201800;50;2.1;22;10;30.9;15.8;1013.4;9999.9;;;03;99
201801202100;360;3.1;22;10;30;16.6;1010.6;9999.9;;;02;99
201801210000;50;2.6;22;10;27;20.4;1010.7;9999.9;;;03;99
201801210300;50;1.5;99.999;10;25.7;22.9;1011.8;9999.9;;;00;99
201801210600;360;1.5;22;10;25.7;22;1010.1;9999.9;;;01;99
201801210900;360;2.1;22;10;25.2;19.7;1009.6;9999.9;;;04;99
201801211200;320;1;22;10;28;18.8;1009.8;9999.9;;;03;99
201801211500;360;4.1;22;10;31.9;13.8;1009;9999.9;;;01;99
201801211800;360;5.1;22;10;32.5;17.8;1007.1;9999.9;;;02;99
201801212100;90;3.1;22;10;29.7;18.1;1006.2;9999.9;;;02;99
201801220000;50;2.6;22;10;26.7;21.7;1006.3;9999.9;;;03;99
201801220300;999;0;22;10;25.1;21.4;1005.9;9999.9;;;01;99
201801220600;360;1;22;10;25.9;20.1;1004.8;9999.9;;;04;99
201801220900;320;1;22;10;23.1;20.2;1005.4;9999.9;;;02;99
201801221200;320;1;99.999;10;28;21.5;1005.3;9999.9;;;00;99
201801221500;360;3.6;99.999;10;30.2;22.8;1004.7;9999.9;;;03;99
201801221800;50;2.1;3;10;27.9;21.7;1003.8;9999.9;;;06;99
201801222100;50;1.5;22;10;27.6;22.3;1001.7;9999.9;;;03;99
201801230000;90;1.5;22;10;25.8;21.8;1003.3;9999.9;06;0.8;04;99
201801230300;90;1.5;6;10;23.8;20.5;1003.9;9999.9;;;05;99
201801230600;360;1;6;10;24;21;1002.5;9999.9;;;06;99
201801230900;360;2.6;22;10;24.4;22.2;1002.6;9999.9;;;02;99
201801231200;320;2.1;22;10;27.9;20.2;1003.8;9999.9;24;0.8;03;99
201801231500;270;1;6;10;32.7;20.4;1003.4;9999.9;;;08;99
201801231800;270;3.1;22;10;35.8;20;1001.5;9999.9;;;04;99
201801232100;200;1.5;6;10;27.1;22;1002.3;9999.9;;;06;99
201801240000;270;2.6;22;10;26;20.9;1004.2;9999.9;06;6;02;99
201801240300;999;0;99.999;10;25;20.3;1006.3;9999.9;;;00;99
201801240600;140;8.2;0.6;10;22.6;19.5;1008.2;9999.9;;;08;99
201801240900;140;5.7;22;10;18.9;14.8;1011.5;9999.9;;;04;99
201801241200;140;6.2;99.999;10;20;13;1013.9;9999.9;24;6;00;99
201801241500;140;5.1;22;10;23.4;12.7;1015.7;9999.9;;;01;99
201801241800;140;6.2;22;10;26;12.1;1015.9;9999.9;;;01;99
201801242100;140;1;6;10;24.4;11.9;1015.9;9999.9;;;06;99
201801250000;90;3.6;22;10;21.5;9.3;1017.9;9999.9;;;04;99
201801250300;90;3.6;99.999;10;18.4;10.3;1019.6;9999.9;;;00;99
201801250600;140;1.5;99.999;10;16.1;10.7;1018.7;9999.9;;;00;99
201801250900;90;3.1;22;10;14.9;9.3;1019.5;9999.9;;;02;99
201801251200;90;3.6;22;10;19.1;11.6;1020.7;9999.9;;;02;99
201801251500;90;4.1;22;10;23.6;14.6;1020.2;9999.9;;;02;99
201801251800;50;3.1;22;10;23.9;14;1019;9999.9;;;03;99
201801252100;90;1.5;99.999;10;23.8;14.1;1017.4;9999.9;;;06;99
201801260000;90;4.1;99.999;10;20.8;14.4;1017.8;9999.9;;;07;99
201801260300;90;1;0.6;10;20.4;15.6;1018.3;9999.9;;;07;99
201801260600;50;2.1;0.45;9;21.8;15.7;1017.1;9999.9;06;0;08;99
201801260900;360;5.7;0.45;9;21.2;15.9;1017.4;9999.9;;;08;99
201801261200;320;2.6;22;10;22.8;15.4;1017.7;9999.9;06;0;03;99
201801261500;360;2.6;22;10;25.8;15.4;1016.3;9999.9;;;03;99
201801261800;50;1.5;22;10;28.5;14.6;1013.9;9999.9;;;03;99
201801262100;90;1.5;22;10;27.6;16.5;1010.9;9999.9;;;04;99
201801270000;90;3.6;6;10;25.2;19.5;1011.6;9999.9;;;06;99
201801270300;50;1.5;6;10;25.8;18.2;1011.2;9999.9;;;07;99
201801270600;360;4.6;3;10;23.6;17.6;1010.9;9999.9;;;07;99
201801270900;320;4.1;3;10;22.2;17.4;1010.5;9999.9;;;07;99
201801271200;360;2.1;3;9;22.5;17.9;1010.5;9999.9;06;0;08;99
201801271500;50;2.1;99.999;10;26.2;18.6;1009.3;9999.9;;;05;99
201801271800;50;2.6;6;10;28.8;20.4;1007;9999.9;06;0;05;99
201801272100;320;1.5;99.999;10;28.7;21.4;1005.8;9999.9;;;05;99
201801280000;320;1.5;99.999;10;26.8;22.4;1006.9;9999.9;;;00;99
201801280300;999;0;99.999;10;24;20.5;1008;9999.9;;;00;99
201801280600;180;1;99.999;10;23.1;19.2;1007.8;9999.9;;;00;99
201801280900;180;0.5;99.999;10;21.1;18.7;1008.8;9999.9;;;00;99
201801281200;140;2.1;99.999;10;26;19.6;1010.4;9999.9;24;0;00;99
201801281500;140;3.1;22;10;30.8;17.9;1010.7;9999.9;;;03;99
201801281800;50;3.6;22;10;30.4;18.5;1010.3;9999.9;;;04;99
201801282100;50;3.6;99.999;10;27.8;14.7;1010.8;9999.9;;;00;99
201801290000;50;2.1;99.999;10;24;15.7;1012.3;9999.9;;;00;99
201801290300;50;2.6;99.999;10;23.3;15.2;1013.8;9999.9;;;00;99
201801290600;50;1.5;99.999;10;21.5;14.8;1013.2;9999.9;;;00;99
201801290900;360;1.5;99.999;10;21;13;1013.5;9999.9;;;00;99
201801291200;360;4.1;99.999;10;24.2;11.2;1014.8;9999.9;;;00;99
201801291500;360;2.6;99.999;10;27.1;9.4;1014.7;9999.9;;;00;99
201801291800;50;4.1;22;10;30.4;10.8;1012.7;9999.9;;;01;99
201801292100;90;2.6;99.999;10;28.2;12.7;1010.6;9999.9;;;00;99
201801300000;50;5.1;99.999;10;24.6;15.4;1010.1;9999.9;;;00;99
201801300300;50;3.6;99.999;10;24;14.9;1010.7;9999.9;;;00;99
201801300600;360;4.1;99.999;10;21.9;15.6;1011.2;9999.9;;;00;99
201801300900;360;2.6;99.999;10;20.8;16;1010.8;9999.9;;;00;99
201801301200;320;3.1;99.999;10;22.2;16.7;1012;9999.9;;;00;99
201801301500;320;1.5;99.999;10;27.2;17.1;1011.2;9999.9;;;00;99
201801301800;320;1.5;99.999;10;31.4;14.6;1009.6;9999.9;;;00;99
201801302100;360;1;22;10;31.6;16.2;1008.6;9999.9;;;01;99
201801310000;50;1;99.999;10;27.1;18.4;1010.4;9999.9;;;00;99
201801310300;50;1.5;22;10;25.9;19.8;1011.5;9999.9;;;02;99
201801310600;360;2.1;22;10;24.3;21;1011.4;9999.9;;;03;99
201801310900;320;2.6;22;10;24.1;20.1;1012.5;9999.9;;;04;99
201801311200;360;2.1;6;10;26.2;20.8;1014.7;9999.9;;;06;99
201801311500;50;2.1;99.999;10;31;20.6;1015.4;9999.9;;;05;99
201801311800;360;4.1;99.999;10;32.2;19.1;1014.2;9999.9;;;05;99
201801312100;320;1;22;10;30.6;16.4;1013.5;9999.9;;;04;99
201802010000;90;3.6;22;10;24.5;19.1;1013.9;9999.9;;;02;99
201802010300;50;1.5;99.999;10;25.2;20;1014.5;9999.9;;;00;99
201802010600;360;1.5;99.999;10;24.4;21.1;1014.1;9999.9;;;00;99
201802010900;999;0;22;10;21.9;21.1;1014.2;9999.9;;;02;99
201802011200;50;1;22;10;27.2;20.9;1014.6;9999.9;;;03;99
201802011500;50;1.5;22;10;30.6;19.4;1014.2;9999.9;;;02;99
201802011800;360;3.1;22;10;32.3;19.2;1012.7;9999.9;;;02;99
201802012100;320;2.6;99.999;10;31.2;19.5;1011.2;9999.9;;;00;99
201802020000;360;1;99.999;10;28.2;19.9;1011.8;9999.9;;;00;99
201802020300;360;0.5;99.999;10;27.3;21.4;1012.7;9999.9;;;00;99
201802020600;320;1;99.999;10;25.3;21.1;1012;9999.9;;;00;99
201802020900;320;1;99.999;10;24.2;18.4;1012.2;9999.9;;;00;99
201802021200;999;0;99.999;10;29.2;20.7;1013.4;9999.9;;;00;99
201802021500;50;1.5;22;10;33.9;20;1013.4;9999.9;;;02;99
201802021800;90;2.6;99.999;9;29.8;21.2;1013.3;9999.9;;;00;99
201802022100;90;2.1;99.999;10;27;15.7;1012.9;9999.9;;;00;99
201802030000;50;3.1;99.999;10;23.7;17;1013.4;9999.9;;;00;99
201802030300;90;3.6;99.999;10;23.2;16.9;1014;9999.9;;;00;99
201802030600;50;1.5;99.999;10;22.8;17.7;1013.4;9999.9;;;00;99
201802030900;50;2.1;99.999;10;21.5;17.2;1014;9999.9;;;00;99
201802031200;360;3.6;99.999;10;23.8;16;1014.9;9999.9;;;00;99
201802031500;50;1;99.999;10;26.9;14.2;1014.7;9999.9;;;00;99
201802031800;50;2.1;99.999;10;28.6;13.7;1013.5;9999.9;;;00;99
201802032100;90;1.5;22;10;28.4;13.2;1012.5;9999.9;;;01;99
201802040000;90;5.1;99.999;10;24.4;19.6;1012.9;9999.9;;;00;99
201802040300;50;1;99.999;10;24.1;20.6;1013.3;9999.9;;;00;99
201802040600;360;2.6;22;10;23.6;18.1;1013.4;9999.9;;;03;99
201802040900;50;5.1;22;10;22.5;17.4;1013.9;9999.9;;;03;99
201802041200;320;2.6;22;10;23.8;18;1015.5;9999.9;;;04;99
201802041500;360;2.6;22;10;28.4;18.9;1015.2;9999.9;;;02;99
201802041800;50;2.1;22;10;30.2;19.5;1013.5;9999.9;;;02;99
201802042100;50;2.6;22;10;29.6;18.4;1012.3;9999.9;;;01;99
201802050000;50;1.5;22;10;25.8;20.4;1012.6;9999.9;;;02;99
201802050300;50;1;99.999;10;25.5;21;1013.2;9999.9;;;00;99
201802050600;360;5.1;22;10;25.2;18.7;1012.3;9999.9;;;01;99
201802050900;320;2.1;22;10;23.5;19.3;1012.2;9999.9;;;02;99
201802051200;320;2.1;99.999;10;25.3;19.5;1013.3;9999.9;;;00;99
201802051500;320;2.6;99.999;10;30.5;20.2;1012.8;9999.9;;;00;99
201802051800;360;2.6;99.999;10;32;17.7;1011;9999.9;;;00;99
201802052100;360;2.6;99.999;10;30.5;17.7;1009.6;9999.9;;;00;99
201802060000;90;3.1;99.999;10;27;20.7;1009.9;9999.9;;;00;99
201802060300;999;0;99.999;10;25.6;20.3;1010.5;9999.9;;;00;99
201802060600;50;1;99.999;10;24.9;20;1010;9999.9;;;00;99
201802060900;360;0.5;99.999;10;24;20.2;1009.9;9999.9;;;00;99
201802061200;320;1.5;22;10;26.5;21;1010.7;9999.9;;;01;99
201802061500;320;1.5;22;10;31.1;17.5;1010.3;9999.9;;;04;99
201802061800;360;2.6;22;10;32.5;17.4;1008.5;9999.9;;;03;99
201802062100;50;2.6;22;10;31.8;18;1006.7;9999.9;;;01;99
201802070000;50;3.1;99.999;10;27.3;21.7;1007.1;9999.9;;;00;99
201802070300;50;0.5;99.999;10;26.1;21.7;1008.3;9999.9;;;00;99
201802070600;50;2.1;99.999;10;26;20.1;1008.7;9999.9;;;00;99
201802070900;320;1.5;99.999;10;24.7;21.1;1008.3;9999.9;;;00;99
201802071200;320;2.1;22;10;27;21.8;1008.9;9999.9;;;01;99
201802071500;360;2.6;22;10;33;20.4;1008.9;9999.9;;;01;99
201802071800;320;1.5;22;10;34.5;15;1007.7;9999.9;;;03;99
201802072100;50;1.5;22;10;33.1;16.8;1005.6;9999.9;;;03;99
201802080000;50;1;22;10;29.1;21.6;1006.5;9999.9;;;04;99
201802080300;50;1.5;22;10;28.1;21.8;1007;9999.9;;;03;99
201802080600;50;1.5;6;10;27.2;21.7;1005.8;9999.9;;;07;99
201802080900;340;2.6;6;10;27.1;19.7;1005.8;9999.9;;;06;99
201802081200;320;2.6;22;10;29.3;19.1;1005.3;9999.9;;;04;99
201802081500;360;1.5;22;10;32.8;21.2;1005.4;9999.9;;;01;99
201802081800;320;1.5;22;10;36.3;20.3;1003.5;9999.9;;;01;99
201802082100;360;5.1;22;10;35.5;20;1001.5;9999.9;;;02;99
201802090000;320;3.1;22;10;32.4;20.1;1002.1;9999.9;;;01;99
201802090300;320;4.1;99.999;10;28.3;20.7;1003.3;9999.9;;;00;99
201802090600;320;2.1;99.999;10;27.6;19.9;1002.1;9999.9;;;00;99
201802090900;320;3.1;99.999;10;25.8;18.7;1002.1;9999.9;;;04;99
201802091200;140;3.6;2.7;9;22.4;19.8;1005.5;9999.9;06;2;08;99
201802091500;90;2.6;3;10;22.4;20.3;1006.3;9999.9;;;07;99
201802091800;360;1.5;3;10;25.6;19.5;1006.7;9999.9;06;15;07;99
201802092100;160;3.1;6;10;28.4;19.6;1005.6;9999.9;;;07;99
201802100000;140;2.6;99.999;10;26.2;19;1008.4;9999.9;;;07;99
201802100300;140;3.6;22;10;24;19;1010.1;9999.9;;;04;99
201802100600;140;3.1;0.6;10;20.9;16.3;1011;9999.9;;;07;99
201802100900;90;1.5;22;10;19.5;14.6;1012.3;9999.9;;;04;99
201802101200;90;2.1;6;10;22.9;17.7;1013.7;9999.9;24;15;07;99
201802101500;320;1;0.6;10;26.3;18.9;1014.3;9999.9;;;05;99
201802101800;360;3.1;22;10;28.6;17.1;1012.8;9999.9;;;02;99
201802102100;320;1;22;10;28.3;9;1011.5;9999.9;;;01;99
201802110000;50;0.5;22;10;23.9;16.5;1013;9999.9;;;02;99
201802110300;90;2.1;22;10;19.6;15.1;1015.7;9999.9;;;03;99
201802110600;140;5.1;3;10;17.7;11.5;1017.3;9999.9;;;07;99
201802110900;90;3.1;0.36;8;14.9;13.3;1019.3;9999.9;;;08;99
201802111200;140;3.6;3;10;15.4;10.1;1021.6;9999.9;06;9;08;99
201802111500;140;5.1;22;10;22.6;7.9;1021.1;9999.9;;;02;99
201802111800;180;3.1;22;10;23.4;8.6;1021;9999.9;;;01;99
201802112100;110;4.1;6;10;21.8;7.2;1020.6;9999.9;;;06;99
201802120000;140;3.6;22;10;19.1;6.4;1022.4;9999.9;;;03;99
201802120300;90;1.5;22;10;16.6;8.7;1024.2;9999.9;;;02;99
201802120600;140;1;99.999;10;14;7.8;1023.6;9999.9;;;00;99
201802120900;999;0;99.999;10;12.4;7.1;1023.5;9999.9;;;00;99
201802121200;140;1.5;99.999;10;17.2;7.1;1024.4;9999.9;;;00;99
201802121500;180;1.5;99.999;10;21.2;4.9;1023.3;9999.9;;;00;99
201802121800;50;2.6;99.999;10;22.3;8.2;1021.8;9999.9;;;00;99
201802122100;50;2.6;22;10;20.8;7.8;1020.1;9999.9;;;01;99
201802130000;50;0.5;99.999;10;19.5;8;1020.2;9999.9;;;00;99
201802130300;999;0;99.999;10;17.9;9.7;1020.8;9999.9;;;00;99
201802130600;50;1;22;10;15.7;11.1;1021.2;9999.9;;;03;99
201802130900;360;1;22;10;15.9;12.3;1021.5;9999.9;;;02;99
201802131200;320;2.1;99.999;10;21.2;13.1;1022.9;9999.9;;;00;99
201802131500;320;2.6;99.999;10;24.3;9.2;1023;9999.9;;;00;99
201802131800;50;2.6;99.999;10;25.4;9.1;1021.9;9999.9;;;00;99
201802132100;360;3.1;99.999;10;25.1;8.4;1020.1;9999.9;;;00;99
201802140000;50;1;99.999;10;21.6;9.7;1020.7;9999.9;;;00;99
201802140300;360;1.5;99.999;10;21.9;14.7;1021.6;9999.9;;;00;99
201802140600;50;0.5;99.999;10;20.4;15;1020.9;9999.9;;;00;99
201802140900;360;2.1;99.999;10;19.8;14.5;1021.1;9999.9;;;00;99
201802141200;320;3.1;99.999;10;22.4;11.9;1022.6;9999.9;;;00;99
201802141500;360;4.1;99.999;10;26.9;12.9;1021.7;9999.9;;;00;99
201802141800;20;1;99.999;10;29;11.6;1020.1;9999.9;;;00;99
201802142100;50;2.1;99.999;10;27.5;12.8;1018.3;9999.9;;;00;99
201802150000;90;2.1;99.999;10;24.4;17.2;1018.6;9999.9;;;00;99
201802150300;50;3.6;99.999;10;24.5;15.9;1019.2;9999.9;;;00;99
201802150600;360;4.6;99.999;10;22.9;16.4;1019.8;9999.9;;;00;99
201802150900;360;4.1;99.999;10;21.4;16.5;1020.2;9999.9;;;00;99
201802151200;320;3.1;22;10;23.2;18;1021.4;9999.9;;;01;99
201802151500;320;2.6;22;10;27;18.7;1021;9999.9;;;01;99
201802151800;360;1;22;10;29.9;16.7;1019.2;9999.9;;;03;99
201802152100;50;2.1;22;10;27.9;16.3;1017.8;9999.9;;;04;99
201802160000;50;3.6;22;10;25.1;17.5;1017.6;9999.9;;;04;99
201802160300;50;1.5;22;10;24.6;20;1017.5;9999.9;;;01;99
201802160600;360;4.6;22;10;23.9;18.4;1018;9999.9;;;01;99
201802160900;360;4.1;22;10;22.5;18.2;1018.9;9999.9;;;02;99
201802161200;360;5.1;22;10;24.2;18.9;1020.1;9999.9;;;02;99
201802161500;360;4.1;22;10;28.8;20.1;1019.6;9999.9;;;03;99
201802161800;360;2.6;22;10;31.1;18.6;1018;9999.9;;;02;99
201802162100;50;2.6;22;10;30.1;17.1;1016.5;9999.9;;;01;99
201802170000;50;1.5;99.999;10;26.2;20.1;1016;9999.9;;;00;99
201802170300;50;1;99.999;10;26.2;18.4;1015.8;9999.9;;;00;99
201802170600;360;6.2;99.999;10;24.4;18.6;1015.6;9999.9;;;00;99
201802170900;360;5.7;99.999;10;22.8;19.7;1015.4;9999.9;;;00;99
201802171200;320;1.5;22;10;24.8;20.2;1015.6;9999.9;;;02;99
201802171500;360;1;99.999;10;28.3;21.7;1015;9999.9;;;00;99
201802171800;360;3.1;22;10;31.2;21.4;1012.6;9999.9;;;01;99
201802172100;360;2.1;22;10;30.8;16.3;1010.7;9999.9;;;01;99
201802180000;360;1;99.999;10;27.6;19.9;1010.4;9999.9;;;00;99
201802180300;360;1.5;99.999;10;25.8;21;1010;9999.9;;;00;99
201802180600;360;3.1;99.999;10;26.3;19.8;1008.5;9999.9;;;00;99
201802180900;320;3.6;99.999;10;24.6;18.4;1008;9999.9;;;00;99
201802181200;320;2.6;22;10;25.9;19;1008.6;9999.9;;;02;99
201802181500;320;3.6;22;10;31;23;1007.2;9999.9;;;03;99
201802181800;320;3.1;22;10;33.4;23.1;1004.5;9999.9;;;03;99
201802182100;320;4.6;22;10;32.9;20.3;1002.6;9999.9;;;03;99
201802190000;320;4.1;99.999;10;29.9;20.4;1003.2;9999.9;;;00;99
201802190300;320;1.5;99.999;8;27.2;18.7;1003.9;9999.9;;;00;99
201802190600;320;1;22;10;25.8;19.4;1003.1;9999.9;;;01;99
201802190900;140;2.6;3;10;23.5;17.8;1004.4;9999.9;;;07;99
201802191200;140;3.6;0.45;10;20.4;19.8;1006.3;9999.9;06;22;07;99
201802191500;180;1;3;10;27;19.5;1006.4;9999.9;;;05;99
201802191800;999;0;6;10;27.2;19.9;1003.3;9999.9;06;0.5;05;99
201802192100;230;2.1;6;10;29.1;19.7;1002.7;9999.9;;;07;99
201802200000;140;0.5;3;10;25.7;18.7;1005.4;9999.9;;;07;99
201802200300;320;3.6;3;10;24.6;20.4;1005.4;9999.9;;;06;99
201802200600;999;0;6;10;23.2;21.1;1005;9999.9;;;05;99
201802200900;140;3.6;22;10;20.6;18.9;1005.8;9999.9;;;04;99
201802201200;140;1.5;22;10;22.6;19.3;1007.3;9999.9;24;0.5;02;99
201802201500;140;3.6;22;10;27.2;19.8;1008.3;9999.9;;;02;99
201802201800;140;2.6;22;10;30.5;17.3;1007.4;9999.9;;;03;99
201802202100;140;2.6;22;10;28.6;15;1007.9;9999.9;;;03;99
201802210000;140;6.2;3;10;25;15.9;1010.6;9999.9;;;07;99
201802210300;140;5.1;3;10;21.6;16.6;1012.2;9999.9;;;07;99
201802210600;140;4.1;22;10;19.1;15.9;1012.3;9999.9;;;03;99
201802210900;140;4.6;6;10;18.6;16.3;1012.7;9999.9;;;08;99
201802211200;140;2.1;0.45;10;19.2;16.2;1014.7;9999.9;;;08;99
201802211500;180;4.1;22;10;24.6;16.2;1014.4;9999.9;;;04;99
201802211800;180;4.1;1.35;10;25.9;15.7;1012.9;9999.9;06;0;07;99
201802212100;140;3.6;22;10;25.3;13.3;1012.8;9999.9;;;04;99
201802220000;50;1.5;22;10;22.3;15;1014.1;9999.9;06;0.6;02;99
201802220300;90;2.6;99.999;10;19.7;14.4;1015.8;9999.9;;;00;99
201802220600;50;1.5;99.999;10;17.9;14.3;1015.5;9999.9;;;00;99
201802220900;50;1;99.999;10;16;13.5;1016.3;9999.9;;;00;99
201802221200;140;1.5;22;10;20;13.2;1017.7;9999.9;24;0.6;02;99
201802221500;180;1.5;22;10;26.2;14.1;1018.1;9999.9;;;01;99
201802221800;180;2.6;22;10;28.6;13.7;1016.6;9999.9;;;01;99
201802222100;360;3.1;99.999;10;25.3;15.3;1015.8;9999.9;;;00;99
201802230000;50;3.1;99.999;10;22.6;15.7;1016.7;9999.9;;;00;99
201802230300;320;2.1;22;10;22;15.2;1016.1;9999.9;;;01;99
201802230600;360;1.5;22;10;20.5;15.7;1016.2;9999.9;;;01;99
201802230900;320;1;22;10;17.3;14;1016.5;9999.9;;;01;99
201802231200;320;2.1;22;10;22.3;13.6;1018.5;9999.9;;;04;99
201802231500;320;1.5;22;10;27.3;12.8;1018.8;9999.9;;;02;99
201802231800;360;2.6;6;10;27.9;14.3;1017.6;9999.9;;;06;99
201802232100;50;1.5;6;10;26.7;15.9;1017;9999.9;;;07;99
201802240000;50;2.6;6;10;24.1;18.1;1018.2;9999.9;;;06;99
201802240300;50;2.6;22;10;21.2;16.1;1018.9;9999.9;;;02;99
201802240600;90;5.1;22;10;19.8;17;1019.4;9999.9;;;02;99
201802240900;90;2.6;22;10;18.2;15.7;1019.4;9999.9;;;03;99
