,temp,pres,rh,ws,PBLH,VentCoef
2019-03-16,296.84999999999997,1011.25,78.625,2.4791666666666665,679.4782608695652,2294.4565217391305
2019-03-17,296.99583333333334,1006.25,74.875,1.0208333333333333,274.11764705882354,495.72941176470584
2019-03-18,295.9291666666667,1008.0,61.541666666666664,2.316666666666667,786.6666666666666,2356.7666666666664
2019-03-19,288.7708333333333,1017.7916666666666,67.83333333333333,2.6041666666666665,1117.875,3408.3875000000003
2019-03-20,289.43333333333334,1020.125,57.78260869565217,1.952173913043478,981.9090909090909,3035.831818181818
2019-03-21,290.7375,1016.7916666666666,64.57142857142857,1.2952380952380953,267.57894736842104,503.8421052631579
2019-03-22,291.53749999999997,1015.2916666666666,66.125,1.3875,363.88235294117646,1055.2117647058822
2019-03-23,294.28333333333336,1010.875,59.416666666666664,2.7875,767.25,2609.304166666667
2019-03-24,289.96250000000003,1015.4583333333334,60.833333333333336,2.9375,1216.5416666666667,3994.991666666667
2019-03-25,290.2791666666667,1019.4583333333334,63.416666666666664,2.5166666666666666,968.375,2753.5291666666667
2019-03-26,290.50416666666666,1023.9583333333334,69.875,1.6416666666666666,692.5416666666666,1150.0375000000001
2019-03-27,293.1083333333333,1024.2916666666667,65.79166666666667,2.9499999999999997,876.7083333333334,2774.9125
2019-03-28,294.6875,1020.125,69.52173913043478,2.5869565217391304,660.1304347826087,2435.2869565217393
2019-03-29,296.3041666666667,1013.2083333333334,76.45833333333333,1.0916666666666666,257.2352941176471,528.1941176470589
2019-03-30,297.925,1012.1666666666666,72.625,0.9666666666666667,147.1,219.0
2019-03-31,297.48333333333335,1012.5416666666666,69.75,1.7916666666666667,362.0416666666667,793.4666666666667
2019-04-01,297.22083333333336,1009.9166666666666,78.375,1.375,554.0416666666666,863.7583333333333
2019-04-02,297.6875,1008.5416666666666,61.708333333333336,2.908333333333333,1431.8095238095239,5638.828571428571
2019-04-03,295.07916666666665,1002.75,71.20833333333333,1.8333333333333333,644.4782608695652,1619.1695652173914
2019-04-04,291.0125,1006.7083333333334,75.04166666666667,3.829166666666666,1673.7916666666667,6824.224999999999
2019-04-05,289.9291666666667,1018.4583333333334,66.83333333333333,1.5041666666666667,653.8947368421053,2251.0684210526315
2019-04-06,290.9458333333333,1017.3333333333334,66.66666666666667,1.7666666666666666,454.1666666666667,971.2833333333333
2019-04-07,293.25416666666666,1016.2916666666666,63.666666666666664,1.425,434.77272727272725,741.459090909091
2019-04-08,294.89166666666665,1015.8333333333334,62.541666666666664,1.2750000000000001,304.3333333333333,730.8722222222223
2019-04-09,296.25416666666666,1012.1666666666666,61.083333333333336,1.8333333333333333,437.5833333333333,954.4625000000001
2019-04-10,293.72083333333336,1011.125,75.70833333333333,2.1125000000000003,787.2173913043479,1789.9739130434784
2019-04-11,288.3,1015.8333333333334,73.75,1.0041666666666667,542.3333333333334,1610.1166666666668
2019-04-12,291.2916666666667,1011.0,62.75,2.6750000000000003,641.0,2032.4375
2019-04-13,294.125,1008.75,67.33333333333333,1.7458333333333333,659.1363636363636,1698.2545454545455
2019-04-14,295.0125,1014.125,69.5,2.0125,612.5833333333334,1482.9291666666668
2019-04-15,289.4291666666667,1020.6666666666666,69.25,1.9749999999999999,637.5833333333334,1808.4666666666665
2019-04-16,292.4583333333333,1015.4583333333334,69.5,2.120833333333333,701.2173913043479,1915.1434782608696
2019-04-17,293.6666666666667,1011.25,66.29166666666667,1.8083333333333333,674.4166666666666,1512.9750000000001
2019-04-18,294.1875,1008.2916666666666,67.33333333333333,1.7958333333333334,565.0909090909091,1379.6772727272728
2019-04-19,296.1666666666667,1008.0,64.75,1.9625000000000001,924.6666666666666,2448.0619047619048
2019-04-20,290.22499999999997,1013.5,72.66666666666667,1.7208333333333332,662.9565217391304,1737.0695652173913
2019-04-21,289.2375,1016.125,73.16666666666667,0.8208333333333333,656.5333333333333,887.1933333333333
2019-04-22,290.27916666666664,1018.75,70.34782608695652,1.6043478260869564,270.3809523809524,575.1714285714286
2019-04-23,289.28333333333336,1019.5833333333334,78.73913043478261,1.2521739130434784,320.7391304347826,472.76956521739135
2019-04-24,291.84583333333336,1020.1666666666666,76.625,3.25,1022.2916666666666,3737.7999999999997
2019-04-25,291.575,1018.4166666666666,81.5,3.670833333333333,1087.2083333333333,5076.95
2019-04-26,290.65833333333336,1010.5416666666666,94.25,2.470833333333333,730.6666666666666,2370.5375
2019-04-27,291.37083333333334,1009.6666666666666,88.70833333333333,0.8208333333333333,452.94117647058823,645.6235294117647
2019-04-28,291.96250000000003,1008.5833333333334,79.0,1.7166666666666668,484.40909090909093,1145.3136363636365
2019-04-29,290.58750000000003,1013.75,67.58333333333333,2.0416666666666665,696.875,1467.0666666666666
2019-04-30,286.4916666666667,1016.7083333333334,70.95652173913044,1.7434782608695654,683.8421052631579,1992.0947368421055
2019-05-01,291.09583333333336,1007.6666666666666,58.041666666666664,2.9250000000000003,970.4583333333334,2923.8958333333335
2019-05-02,293.31666666666666,1003.9583333333334,73.375,1.6291666666666667,717.5,2282.633333333333
2019-05-03,293.6458333333333,1010.5,62.5,2.0875,511.5416666666667,1600.1125
2019-05-04,292.40833333333336,1010.1666666666666,85.0,2.85,788.625,2722.3041666666663
2019-05-05,290.325,1014.25,89.91666666666667,2.558333333333333,979.2916666666666,3048.1666666666665
2019-05-06,288.8875,1020.0,74.41666666666667,1.7416666666666665,562.125,1146.7708333333333
2019-05-07,289.5416666666667,1018.7916666666666,78.16666666666667,2.4166666666666665,690.375,1780.1333333333332
2019-05-08,290.69166666666666,1013.9166666666666,76.33333333333333,2.7416666666666667,753.5833333333334,2144.1875
2019-05-09,290.40000000000003,1003.2916666666666,92.70833333333333,2.5541666666666667,1064.0,3923.185714285714
2019-05-10,287.675,1008.7916666666666,76.75,2.9333333333333336,1051.5,3792.0
2019-05-11,287.92083333333335,1015.0833333333334,69.08333333333333,1.6041666666666667,720.4736842105264,1888.7473684210524
2019-05-12,290.90000000000003,1017.4583333333334,60.25,1.8,444.54545454545456,1196.640909090909
2019-05-13,288.96250000000003,1024.625,64.16666666666667,2.4208333333333334,736.7916666666666,1971.1499999999999
2019-05-14,288.25416666666666,1025.8333333333333,69.04166666666667,2.1625,594.1666666666666,1771.8166666666666
2019-05-15,288.20416666666665,1023.0416666666666,81.08333333333333,1.0374999999999999,635.7333333333333,1520.6066666666666
2019-05-16,292.5833333333333,1017.5833333333334,73.56521739130434,3.6260869565217395,976.2608695652174,4021.8347826086956
2019-05-17,293.25416666666666,1012.5833333333334,73.54166666666667,3.158333333333333,913.6666666666666,3330.5416666666665
2019-05-18,291.9291666666667,1013.2916666666666,82.33333333333333,1.7916666666666667,800.5454545454545,2118.7090909090907
2019-05-19,286.5541666666666,1015.6666666666666,84.45833333333333,1.9583333333333333,560.8333333333334,1461.1875
2019-05-20,288.09999999999997,1014.1666666666666,80.9090909090909,3.7363636363636363,1144.8181818181818,5120.754545454546
2019-05-21,286.09999999999997,1019.625,76.625,2.8375,846.7083333333334,2527.866666666667
2019-05-22,285.72083333333336,1018.9166666666666,72.625,1.2333333333333334,585.8,932.2049999999999
2019-05-23,285.2916666666667,1015.4583333333334,62.166666666666664,0.7374999999999999,169.94736842105263,202.7526315789474
2019-05-24,288.33750000000003,1012.3333333333334,60.75,1.9416666666666667,520.2916666666666,1338.1041666666667
2019-05-25,288.90416666666664,1010.0,70.0,2.4499999999999997,825.125,2343.5333333333333
2019-05-26,289.15833333333336,1008.7083333333334,87.16666666666667,0.8958333333333334,553.3076923076923,1184.5153846153846
2019-05-27,288.21250000000003,1010.1666666666666,85.125,1.0291666666666666,189.2173913043478,282.7434782608696
2019-05-28,285.7375,1015.3333333333334,79.54166666666667,1.05,377.15,675.47
2019-05-29,284.9875,1016.9583333333334,70.45833333333333,1.9416666666666667,535.875,1412.4666666666665
2019-05-30,285.2083333333333,1016.5,75.375,2.1791666666666667,609.2916666666666,1503.2666666666667
2019-05-31,287.33750000000003,1014.5833333333334,79.16666666666667,1.3916666666666666,446.8695652173913,857.8913043478261
2019-06-01,287.7916666666667,1016.5,82.875,1.1583333333333334,403.94736842105266,702.2421052631579
