date;PM2,5;Cl;NO3;SO4;Na sol;NH4;Na no sol;Na total;Mg;Al;K;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Mo;Ag;Cd;Sb;Ba;Pb;OCPk1 C;OCPk2 C;OCPk3 C;OCPk4 C;OCPk5 C;Pyrol C;ECPk1 C;ECPk2 C;ECPk3 C;ECPk4 C;ECPk5 C;ECPk6 C;C Orgánico;C Elemental;C Total
2019-08-13;17.2282542463963;0.360786016654288;0.479689094134315;0.246731254690595;0.384222489233056;0.191841128627735;1.55642996889502;1.94065245812807;0.227899360963961;0.247935647748074;1.28244102154173;0.592953316907994;0.0103111289684765;0.000783545868228449;0.0108659641904034;0.00776974050155447;0.266546168326081;0.000382135603701213;0.0129752780692219;0.0582591832968815;0.107019828122197;0.000437064418030439;0.000467178824525442;0.00203283247905183;0.00440739503064173;0.000618353520539786;0.00661117328566449;0.0122801755675246;0.0391084108800498;2.29203825698152;1.33678916763167;0.531272964974567;0.747698530708668;0.00782540582727562;2.3096298996879;0.153688026632102;1.17949983886462;2.05131817976012;0.371370996605237;0.0250998974008363;0.0267235773198457;6.05339;1.45599;7.50938
2019-08-16;51.4232284294017;0.29157442750471;3.41061150689418;0.890348684242391;0.310047923269166;1.68371661075475;0.305296149347473;0.615344072616639;0.123832309437683;0.16911754650745;1.08289449898733;0.339464453239135;0.00808460873781138;0.00645871371184155;0.00117452330230198;0.0053068782176363;0.207410387635841;0.000290418931219766;0.00918142019127835;0.0433381044397387;0.051063273554844;0.000926148219208343;0.000208736468146122;0.00096756582434444;0.00411027492907091;0.000476232063672878;0.00385309974085961;0.00729678410514543;0.0497934343200691;4.00774293951385;3.84011585753465;1.33293690463787;1.38470793538168;0.0130450334387596;7.26717791755966;0.707505051548825;5.03395513676298;2.69438511521933;0.181281737470721;0.0255815286864561;0.0355864199862617;16.76009;1.37214;18.13223
2019-08-19;13.0056710552115;0.271136632805425;0.742631972141817;0.516518315509908;0.30064340532794;0.285222277464186;0.799045868433886;1.09968927376183;0.13820929735285;0.261982112081491;0.32926446224127;0.514982658190837;0.0086891488831047;0.00153255677873572;0.0016922089233299;0.00507692919780317;0.193592627770595;0.000222454784313829;0.00258958138373854;0.0807044088126273;0.0755776577913457;0.000553868859686425;0.00161329082361221;0.000395013005965908;0.00361327307064106;0.000209289006856867;0.00252630876412081;0.00779050332096048;0.0526165977311222;1.39053751184003;0.745956145595979;0.281287492287782;0.603050168305107;0.00536751028719993;0.935419511926892;0.069457532477816;0.515878593393192;1.05274737186185;0.239233083392436;0.0144485288615028;0.0186315628354492;2.93095;0.93797;3.86892
2019-08-22;34.9787703267477;0.353060146913196;1.32864160865984;0.52776726500197;0.295359911992657;0.591370243561198;0.637556542967646;0.932916454960303;0.0692089748203247;0.153197433659756;0.738359072381855;0.283278641675068;0.0100174821881384;0.00560889363003184;0.00370189560330018;0.00903593887272342;0.290502980556297;0.000227135384895512;0.00464390288475602;0.0244091596120943;0.0972833752818563;0.000664338112620789;0;0.00117750119668531;0.00221738373830465;0.000825659769030003;0.00469920042049827;0.0144732896351083;0.0133943180888253;3.11132474104665;2.18137068497513;0.760765509748816;0.875590359850338;0.0111323836396737;5.37597771274839;0.42949836461576;3.25189391196371;3.55475138559456;0.310239332513284;0.0228937157302186;0.0261537641684673;11.30599;2.18318;13.48917
2019-08-25;15.0887141990911;0.13695599667396;0.680101570488849;0.493668986849553;0.250723176755205;0.334769116852951;0.932579784847563;1.18330296160277;0.100182683571812;0.107387151504849;0.68540882236411;0.348676143177918;0.00427564923647823;0.00259049725948338;0.000829580500539879;0.00410272518097586;0.0997128145026116;8.96094169687562E-05;0.0028784735071468;0.0134152570996496;0.0800601313368227;0.000239980997734891;0;0.00031478593139835;0.00138645857769215;0.00026173004326605;0.000729110025871386;0.0053012904302167;0.00909687334477942;1.58999907435903;1.28097774171675;0.469357722230085;0.717801068203252;0.00787971719955468;1.7659400887081;0.191773145510625;1.30889830452756;0.919804254291673;0.129919662906493;0.0120427565485592;0.015540805267779;4.94082;0.78004;5.72086
2019-08-28;26.0495683200189;0.10807637680767;0.528808411378897;0.583824312201116;0.259436516836221;0.425142154850563;0.741476061976365;1.00091257881259;0.0917610702969947;0.188150578125631;0.759547439717628;0.425041769702254;0.00865533225043172;0.000846258988427803;0.00280742071648917;0.00422814785197539;0.166368641761207;0.000111374773987703;0.00108452654160173;0.0154580097239174;0.0493062168967468;0.000365016865088132;0;0.000327706363367622;0.0015684510144789;0.000136266123523714;0.000897267857840217;0.00741060159895131;0.00765845198206523;2.19651745995278;2.33073542205978;0.795194847871614;0.974188903654589;0.00864570186562706;3.29298498016822;0.26205662550591;1.99776614227857;1.56331470135226;0.191852716744665;0.0200967630150826;0.0263663934696738;8.63733;0.73397;9.37129
2019-08-31;27.550553829963;0.751419365073784;0.58465025022734;0.110183848911569;0.319043800631316;0.38214352451356;1.59299003516595;1.91203383579727;0.265703670090804;0.413673851131846;1.14589532224252;0;0.0135875445827456;0.000930277360072468;0.00160398395913296;0.00686751040681742;0.278676992102536;0.000394916689765611;0.0128992270114477;0.070917480755205;0.104128703470446;0.000986300058995064;0;0.000441687511972425;0.00149804895523782;0.00113031669585589;0.00895441903718619;0.0100697955824218;0.0141337514032267;3.39676570104527;3.22741634866325;1.12630467235012;0.8952651805545;0.00961486722882505;3.84181666413992;0.308805518014159;2.20340485322556;1.94390948002142;0.155179456761425;0.0295389424935376;0.041966470128384;11.37241;0.8006;12.17301
2019-09-03;19.2968648620272;0.480062396886386;0.402213958488218;0.0783069945243242;0.318478889229598;0.110724336923306;0.447524849143722;0.76600373837332;0.0300157974790096;0.193078623174789;1.03841351986753;0.418195074636673;0.00933636944158021;0.000714409416705264;0.00169180311643453;0.00588602594685609;0.163635566713285;0.000128056870624752;0;0.0239507486051174;0.051845179668365;0.0005700878904476;0;0.000335234528157321;0.00192432576728495;0.000516650546351982;0.00449965475440731;0.00585403584612668;0.0160261626809524;1.67138924583978;1.23605020370825;0.542739660902093;0.673238851679531;0.00790368977668781;2.03588939450638;0.166672446965006;1.40049615148745;0.928925165853227;0.151736729806466;0.0226980790694481;0.0279986166746156;5.03791;0.62209;5.66
2019-09-06;17.706906741226;0.329113478264384;0.539635371289379;0.695012924241113;0.310929671769341;0.266344221734806;0.836658208367469;1.14758788013681;0.142689818137827;0.257991992759711;0.950402846127074;0.273488906798222;0.00778258826872439;0.00420186698005405;0.00166210547981703;0.00284975877700467;0.193456955005003;0.000127396736342383;0.00189317480848151;0.0102185356372232;0.0420880803381169;0.000371597555300472;0;0.000530110819329452;0.0013958293427101;0;0.00164784851602026;0.00737816685694163;0.00822676818410485;1.44494732409752;1.0148999408321;0.377091127699931;0.681933284486736;0.00563808796354651;0.945701093360909;0.0908260747139599;0.685479248055736;0.934303837043644;0.170629246517748;0.0113312365587797;0.0123553407528018;3.41353;0.92128;4.33482
2019-09-09;11.2837565881024;0.093744825899458;0.359326998488497;0.286676644304447;0.252652127451306;0.109614128903143;0.430698045911062;0.683350173362368;0;0.105690651851543;0.472645576233617;0.0738487228970028;0.00374584409418309;0.000589141036050515;0.00156996660734694;0.00343159230712139;0.128375654199299;0.000224598228072622;0.00148054776441816;0.0151084414936785;0.0432077620710261;0.000159486078813632;3.67372242134162E-05;0.000334494115983017;0.00297919080789792;0.000142736520262404;0.00103463313035507;0.0041197192291394;0.0153695531491803;1.08800848521356;0.571868060743939;0.271740631019829;0.583757214772731;0.00332439366252481;0.491906547863633;0.0280657510321476;0.208287180534993;0.851116974059431;0.319555843607452;0.010190663294239;0.0112987945150806;2.02154;0.9011;2.92264
