date,PM2.5,Cl,NO3,SO4,Na,NH4,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,C Orgánico,C Elemental,C Total,Event,ws,wd,temp,rh,pres,blh
2019-04-04 10:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,1.5,268,299.8,65,998,308.2
2019-04-04 11:00:00,21.99,0.5451,0.5204,0.6772,0.5498,0.1765,0.2783,0.2583,0.1842,0.241,0.009365,0.001364,0.001991,0.004011,0.1672,0.0002027,0.0009587,0.002193,0.006324,3.579e-06,0,0.0002991,3.04e-05,3.794e-06,0.0008456,0.006386,0.002912,1.555,1.191,0.7441,1.383,0.01073,0.1058,0.02644,0.09704,0.6545,0.51,0.02897,0.01921,4.108,1.208,5.316,no,4.1,316,301.8,63,998,357.6
2019-04-06 12:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,0.5,4,293.9,52,1020,363.4
2019-04-06 13:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,358,294.6,49,1019,530
2019-04-06 14:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,5.1,4,294.6,50,1018,686.6
2019-04-06 15:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.6,324,294.9,51,1017,815.1
2019-04-06 16:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,3.1,2,295.4,50,1017,923.1
2019-04-06 17:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.1,359,294.6,55,1016,982.4
2019-04-06 18:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,3.6,319,293.9,56,1016,994.9
2019-04-06 19:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.1,4,293.4,57,1017,968.3
