"ID";"volumen_aforo";"area_analizada";"area_material";"Be";"Na";"Mg";"Al";"K";"Ca";"Ti";"V";"Cr";"Mn";"Fe";"Co";"Ni";"Cu";"Zn";"As";"Se";"Mo";"Ag";"Cd";"Sb";"Ba";"Hg";"Pb";"Lote";"Blanco"
50;50;44,45;406,4508;0,275;15221,3202365897;1193,26521365236;1275,52432561425;2853,20125478596;4271,23652154785;44,1842365202145;3,96432658965874;18,6793201254698;15,9933201254785;664,627320125478;0,571236521254785;13,8073200236589;59,3082536541258;253,739321025412;1,46432102102302;0,06;1,82636985214785;5,36712364589785;0,719323012547985;3,23432201254258;65,3153256325412;0,11;26,1722012547856;"14";"0"
51;50;44,45;406,4508;0,275;17323,3201247854;1642,63265469856;1824,66326589542;3582,32036524785;2365,896532145;53,9963202365896;3,79323654125874;13,9042365125896;21,4393625412589;902,919320124589;1,32223652125425;46,8214578569854;209,262365214589;385,502320125478;3,05132102589654;0,06;1,99132145896587;4,40812345678932;3,47523652145893;25,6723268958965;69,2773254125896;0,609236541254785;40,8472336521452;"14";"0"
52;50;44,45;406,4508;0,275;14061,3201596847;973,231254628972;1196,25432632589;3265,412547896;4041,32658965874;41,8222365412547;3,17232652145896;14,1343201254785;18,5863201247859;574,486320125478;0,563232110258965;9,64132012547854;75,6632365212589;236,493320125478;1,86332154789658;0,06;1,68532012589658;5,59636525417896;1,72732012458745;12,9752331558665;57,2433258745896;0,11;46,0373215487554;"14";"0"
53;50;44,45;406,4508;0,275;15363,2012036547;1319,53210245897;1429,92132021457;3201,245896532;3685,32658954125;38,9413265478596;13,8492365214025;14,3733201254785;10,5553214569854;696,394320125478;0,586120365269856;15,9243201254785;38,8223652125896;217,084320125478;1,37431589647853;0,06;2,33932021547856;4,37332102145785;0,265;5,23223365896587;62,9863201201254;0,895326584589652;25,58387541241;"14";"0"
54;50;44,45;406,4508;0,275;14101,5698478563;842,320125697412;991,543320125698;1855,23658978965;3097,32658954785;27,5172365896587;3,05432012547896;14,4192145785963;13,0223265214523;526,256236521478;0,926231025896523;14,9833202365214;56,7192365214589;229,393201254785;0,766321547854102;0,2;1,81732012547856;9,77320125478569;0,72733652565214;3,59300001254785;53,9912502541259;0,11;50,3422365258965;"14";"0"
55;50;44,45;406,4508;0,275;14029,3201245879;1191,32036589654;1522,46332012478;1583,23654125896;3882,23654785693;60,3812236525896;4,46132012547859;21,4243201254785;23,4432125632547;755,457320125478;0,568210236547856;46,9033201254785;74,2432365201254;392,068320125478;1,48321456987458;0,06;4,30432012547854;4,48352485471259;2,08532012547859;16,0832012547526;65,5883265236589;0,672365985478521;83,37883816428;"14";"0"
56;50;44,45;406,4508;0,275;15553,2065478954;1363,01258965412;1420,65332012547;1142,36521478596;4052,03256985478;49,5753265210214;10,2513201245785;12,7533201245785;11,7832652145874;567,832012457856;0,475320125478547;16,9743202125896;38,5935236325214;226,193201254785;0,846321458745896;0,06;1,51236521254785;1,01232569854785;0,588320125478569;4,16632654125478;69,9999658965896;0,11;43,9122362210121;"14";"0"
57;50;44,45;406,4508;0,275;12324,3215698547;565,326589658965;965,336326589652;2038,32012036547;2962,23652145896;48,5852365478523;6,15832036521147;12,0423236521457;21,8442365214258;738,891326654852;0,508236541258965;13,3293201254785;29,2912136521458;142,187321025478;0,853201254785693;0,06;1,31432012547856;0,703320125478598;0,623320214589658;3,11132652145875;55,9136985698548;0,11;18,0323325210225;"14";"0"
58;50;44,45;406,4508;0,275;14287,3202145874;957,326589654782;1887,89535621935;7639,23012547859;4212,36541258965;87,6293203256985;6,29521452896589;11,9852102145632;25,7673202145258;1016,14623658965;0,582563254213258;8,51321365215236;25,8832102365236;98,1843201254785;0,923215478569854;0,06;1,10933325698547;6,65332652145879;0,265;3,91432012547859;68,8635236521458;2,39523659854789;14,7223254125485;"14";"0"
59;50;44,45;406,4508;0,275;14043,2658974587;937,325654785698;1138,08232025896;1359,23159658745;3389,23658965874;45,9752365147852;13,9093256985479;17,7220125202123;20,9613265214587;722,387325487458;0,441236598214578;11,3223652147852;36,3623256985422;161,733320215874;1,37132102154785;0,06;2,56932145874201;0,291325698587458;0,824326521021458;13,0362301259645;60,805202520236;0,13;45,2622584523658;"14";"0"
60;50;44,45;406,4508;0,275;11146,1240245785;562,632145874596;454,053202145896;40;2276,32102035478;12,1853265120236;1,62925314586923;8,81525478523698;1,74132032568596;120,052125359658;0,2;6,58432012365478;14,1273210256856;69,0593215420215;0,25;0,06;0,4;0,05;0,265;0,25;38,7563254102145;0,13;1,50988222829;"14";"1"
61;50;44,45;406,4508;0,275;15436,3265215478;1089,52136547896;914,203235210214;831,236589647856;3207,32032145874;30,3312365214589;6,29332568956847;10,8553210214525;6,8236547852369;355,533202145874;0,60732154025896;8,41632654785412;18,511556985362;60,1813201254785;0,25;0,06;1,14232154785698;0,05;0,265;2,74432012547559;53,7923256985478;0,13;3,57232541258965;"14";"0"
62;50;44,45;406,4508;0,275;11948,3215014785;915,326547896587;997,187325145236;999,236998547885;3217,20326521485;34,9552365214589;5,19132569854785;11,2632012587458;11,5282150236589;423,386320125478;0,2;6,50120314651253;26,2573215647896;108,573210215478;1,35432102145784;0,06;1,15732563254212;1,07832544479854;1,09320125966587;6,54732012547569;50,0732503698547;0,13;64,1683211021145;"14";"0"
