date,NO,NO2,NOx,CO,O3,SO2,aqsite,t2,rh2,slp,wspd,wdir,calm,meteosite,gas_emcycle,aer_emcycle,month,U,V,daynight,datatype
2019-07-19T23:00:00Z,0.077705,0.03215666666666667,0.10986,0.8535883333333334,0.002023333333333332,0.002332912300830124,CNEA-CAC,12.9,92,1015.1,0.56,360,0,OBS,0.3735,0.627613478359482,07,-0.1588670112324553,0.5369928051120118,night,training
2019-07-20T00:00:00Z,0.067915,0.031613333333333334,0.09952833333333333,0.7847066666666667,0.0014116666666666652,0.0024002741527522214,CNEA-CAC,13,92,1015.1,1.67,320,0,OBS,0.3154,0.502090782687586,07,1.5091875369909253,-0.7150195649010341,night,training
2019-07-20T01:00:00Z,0.024398333333333334,0.029725,0.054105,0.5870483333333333,0.0026616666666666663,0.0020376360046743223,CNEA-CAC,14.2,90,1015.3,1.11,320,0,OBS,0.332,0.418408985572988,07,1.0031126742873817,-0.4752525251737413,night,training
2019-07-20T02:00:00Z,0.0011983333333333334,0.018466666666666666,0.019666666666666666,0.35328333333333334,0.006208333333333333,0.0018833311899297545,CNEA-CAC,15,85,1015,1.94,320,0,OBS,0.3154,0.353585058230694,07,1.7531879172229912,-0.830621530483836,night,training
2019-07-20T03:00:00Z,7.933333333333334e-4,0.01216,0.012943333333333333,0.30819833333333335,0.008711666666666666,0.0020756930418518553,CNEA-CAC,14.7,86,1015.2,1.67,320,0,OBS,0.2075,0.322155275276855,07,1.5091875369909253,-0.7150195649010341,night,training
2019-07-20T04:00:00Z,0.0021783333333333333,0.018778333333333334,0.02096,0.32009666666666664,0.005636666666666665,0.002073054893773959,CNEA-CAC,14.8,89,1015,1.11,320,0,OBS,0.166,0.282868046584555,07,1.0031126742873817,-0.4752525251737413,night,training
2019-07-20T05:00:00Z,0.0018333333333333333,0.019935,0.021768333333333334,0.29950666666666664,0.0042983333333333346,0.0019287500790293906,CNEA-CAC,15,88,1014.2,1.67,320,0,OBS,0.2158,0.275010600846095,07,1.5091875369909253,-0.7150195649010341,night,training
2019-07-20T06:00:00Z,0.0026,0.02053666666666667,0.023131666666666665,0.315265,0.004286666666666668,0.001994445264284824,CNEA-CAC,14.7,90,1014.2,1.67,320,0,OBS,0.4067,0.298582938061475,07,1.5091875369909253,-0.7150195649010341,morning,training
2019-07-20T07:00:00Z,0.006711666666666667,0.02049,0.027198333333333335,0.31115,0.004060000000000001,0.0021201404495402587,CNEA-CAC,14.7,90,1014.4,2.5,320,0,OBS,0.82502,0.361442503969154,07,2.259262779926535,-1.0703885702111289,morning,training
2019-07-20T08:00:00Z,0.017575,0.023105,0.040683333333333335,0.360435,0.003088333333333332,0.0020875023014623566,CNEA-CAC,14.1,91,1014.4,1.94,360,0,OBS,1.1039,0.777887128107527,07,-0.550360717483863,1.8602965034237546,morning,training
